OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG,INSTID,INSTDT,UPDTID,UPDTDT
100-444JB,1,1,1,1,MA-100-444JA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-444LA,1,1,1,1,MA-100-444LA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-444SA,1,1,1,1,MA-100-444SA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-454AC,1,1,1,1,MA-100-454AC,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-454AF,1,1,1,1,MA-100-454AF,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-609JB3,1,1,1,1,MA-100-609JB3,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-609KB3,1,1,1,1,MA-100-609KB3,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-609W,1,1,1,1,MA-100-609W,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-702B,1,1,1,1,MA-100-702B,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-702BB,1,1,1,1,MA-100-702BB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-702BC,1,1,1,1,MA-100-702BC,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA26,1,1,1,1,MA-100-704AA26,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA26Y,1,1,1,1,MA-100-704AA26Y,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA30,1,1,1,1,MA-100-704AA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA30P,1,1,1,1,MA-100-704AA30P,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA30Y,1,1,1,1,MA-100-704AA30Y,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
100-704AA38,1,1,1,1,MA-100-704AA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
101-105-3ZCA,1,1,1,1,MA-101-105-3ZCA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
101-105-5ZAA,1,1,1,1,MA-101-105-5ZAA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
101-116C,1,1,1,1,MA-101-116C,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1031-12A01AA38,1,1,1,1,MA-1031-12A01AA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1031-12A01CA38,1,1,1,1,MA-1031-12A01CA38,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
103-304-270,1,1,1,1,MA-103-304-270,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
103-453,1,1,1,1,MA-103-453,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1035-12A01AA30,1,1,1,1,MA-1035-12A01AA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1035-12A01BA30,1,1,1,1,MA-1035-12A01BA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1035-12A01CA30,1,1,1,1,MA-1035-12A01CA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1035-12A02AA30,1,1,1,1,MA-1035-12A02AA30,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1044-439AB,1,1,1,1,MA-1044-439AB,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1044-442AA,1,1,1,1,MA-1044-442AA,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
1044-449AC,1,1,1,1,MA-1044-449AC,,,,1,1,1.0,PC,1.0,PC,0,1,,,,,1,,,,
