完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
1751-402BA17,1,1,MC-1751-402BA17,1,1,L1-1751-402BA17,1,1,MA-1751-402BA17,0,0,,0,0,,0,0,
1751-402BA24,1,1,MC-1751-402BA24,1,1,L1-1751-402BA24,1,1,MA-1751-402BA24,0,0,,0,0,,0,0,
1751-403AA17,1,1,MC-1751-403AA17,1,1,L1-1751-403AA17,1,1,MA-1751-403AA17,0,0,,0,0,,0,0,
1751-403AA24,1,1,MC-1751-403AA24,1,1,L1-1751-403AA24,1,1,MA-1751-403AA24,0,0,,0,0,,0,0,
1751-406BC08,1,1,LA-1751-406BC08-MC,1,1,L1-1751-406BC08,1,1,MA-1751-406BC08,0,0,,0,0,,0,0,
1751-406BC10,1,1,LA-1751-406BC10-MC,1,1,L1-1751-406BC10,1,1,MA-1751-406BC10,0,0,,0,0,,0,0,
1751-406BC11,1,1,LA-1751-406BC11-MC,1,1,L1-1751-406BC11,1,1,MA-1751-406BC11,0,0,,0,0,,0,0,
1751-406BC12,1,1,LA-1751-406BC12-MC,1,1,L1-1751-406BC12,1,1,MA-1751-406BC12,0,0,,0,0,,0,0,
1751-406BC13,1,1,LA-1751-406BC13-MC,1,1,L1-1751-406BC13,1,1,MA-1751-406BC13,0,0,,0,0,,0,0,
1751-406BC14,1,1,LA-1751-406BC14-MC,1,1,L1-1751-406BC14,1,1,MA-1751-406BC14,0,0,,0,0,,0,0,
1751-406BC15,1,1,LA-1751-406BC15-MC,1,1,L1-1751-406BC15,1,1,MA-1751-406BC15,0,0,,0,0,,0,0,
1751-406BC16,1,1,LA-1751-406BC16-MC,1,1,L1-1751-406BC16,1,1,MA-1751-406BC16,0,0,,0,0,,0,0,
1751-406BC17,1,1,LA-1751-406BC17-MC,1,1,L1-1751-406BC17,1,1,MA-1751-406BC17,0,0,,0,0,,0,0,
1751-406BD18,1,1,LA-1751-406BD18-MC,1,1,L1-1751-406BC18,1,1,MA-1751-406BC18,0,0,,0,0,,0,0,
1751-406BD19,1,1,LA-1751-406BD19-MC,1,1,L1-1751-406BC19,1,1,MA-1751-406BC19,0,0,,0,0,,0,0,
1751-406BD20,1,1,LA-1751-406BD20-MC,1,1,L1-1751-406BC20,1,1,MA-1751-406BC20,0,0,,0,0,,0,0,
1751-406BC22,1,1,LA-1751-406BC22-MC,1,1,L1-1751-406BC22,1,1,MA-1751-406BC22,0,0,,0,0,,0,0,
1751-406BC24,1,1,LA-1751-406BC24-MC,1,1,L1-1751-406BC24,1,1,MA-1751-406BC24,0,0,,0,0,,0,0,
5143-601AA15,1,1,LA-1751-601AA15-L2,1,1,L1-1751-601AA15,1,1,MA-1751-601AA15,0,0,,0,0,,0,0,
5143-601AA17,1,1,LA-1751-601AA17-L2,1,1,L1-1751-601AA17,1,1,MA-1751-601AA17,0,0,,0,0,,0,0,
5143-601AA18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,
5143-601AA19,1,1,LA-1751-601AA19-L2,1,1,L1-1751-601AA19,1,1,MA-1751-601AA19,0,0,,0,0,,0,0,
5143-601AA20,1,1,LA-1751-601AA20-L2,1,1,L1-1751-601AA20,1,1,MA-1751-601AA20,0,0,,0,0,,0,0,
5143-601AA24,1,1,LA-1751-601AA24-L2,1,1,L1-1751-601AA24,1,1,MA-1751-601AA24,0,0,,0,0,,0,0,
5143-601AB18,1,1,LA-1751-601AA18-L2,1,1,L1-1751-601AA18,1,1,MA-1751-601AA18,0,0,,0,0,,0,0,
5145-601AA08,1,1,MA-1751-601AA08,0,0,,0,0,,0,0,,0,0,,0,0,
5145-601AA10,1,1,MA-1751-601AA11,0,0,,0,0,,0,0,,0,0,,0,0,
5145-601AA11,1,1,MA-1751-601AA11,0,0,,0,0,,0,0,,0,0,,0,0,
5145-601AA12,1,1,MA-1751-601AA12,0,0,,0,0,,0,0,,0,0,,0,0,
5145-601AA13,1,1,MA-1751-601AA14,0,0,,0,0,,0,0,,0,0,,0,0,
5145-601AA14,1,1,LA-1751-601AA14-L2,1,1,L1-1751-601AA14,1,1,MA-1751-601AA14,0,0,,0,0,,0,0,
5145-601AA15,1,1,LA-1751-601AA15-L2,1,1,L1-1751-601AA15,1,1,MA-1751-601AA15,0,0,,0,0,,0,0,
5145-601AA16,1,1,LA-1751-601AA16-L2,1,1,L1-1751-601AA16,1,1,MA-1751-601AA16,0,0,,0,0,,0,0,
1731-501ZEA14,1,1,L2-19B-501ZEA14,1,1,L1-19B-501ZEA14,1,1,MA-19B-501ZEA14,0,0,,0,0,,0,0,
1731-501ZEA15,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,
1731-501ZEA16,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,
1731-501ZEA17,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,
1731-501ZEA18,1,1,L1-19B-501ZEA18,1,1,MA-19B-501ZEA18,0,0,,0,0,,0,0,,0,0,
1731-501ZEA19,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,
1731-501ZEA20,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,
1731-501ZEA21,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,
1731-501ZEA22,1,1,L1-19B-501ZEA22,1,1,MA-19B-501ZEA22,0,0,,0,0,,0,0,,0,0,
226-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
4411-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
4412-498AA30,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
4412-498AA34,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
5202-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
5211-498AA34,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
5211-498AA36,1,3,L1-720-65242-DRUM,1,1,MA-720-65242-DRUM,0,0,,0,0,,0,0,,0,0,
