No,完成部番,単位数分子,単位数分母,前工程
6,MA-3549-505BA34,1.0,1.0,SKD5Z1270
5,MA-3549-505CA34,41.0,1000.0,SKD11012050
6,MA-3549-505CA34,1.0,1.0,SKD5Z1270
5,MA-3551-505AA34,41.0,1000.0,SKD11012050
6,MA-3551-505AA34,1.0,1.0,SKD5Z1270
5,MA-3551-542AA34,59.0,1000.0,SKD11022067
6,MA-3551-542AA34,1.0,1.0,SKD6G2248
5,MA-3551-569AA34,21.0,1000.0,SKD11015067
6,MA-3551-569AA34,1.0,1.0,SKD6G1525
5,MA-3551-572AA34,36.0,1000.0,SKD11021082
6,MA-3551-572AA34,1.0,1.0,SKD8B2125
5,MA-3638-505AA26,44.0,1000.0,SKD11012050
6,MA-3638-505AA26,1.0,1.0,SKD5Z1275
5,MA-3638-505AA30,44.0,1000.0,SKD11012050
6,MA-3638-505AA30,1.0,1.0,SKD5Z1275
5,MA-3638-505BA26,30.0,1000.0,SKD11012050
6,MA-3638-505BA26,1.0,1.0,SKD5Z1240
5,MA-3650-505AA34,30.0,1000.0,SKD11012050
6,MA-3650-505AA34,1.0,1.0,SKD5Z1258
5,MA-3652-505AA32,24.0,1000.0,SKD11012050
6,MA-3652-505AA32,1.0,1.0,SKD5Z1248
5,MA-3709-505AA34,27.0,1000.0,SKD11012050
6,MA-3709-505AA34,1.0,1.0,SKD5Z1253
5,MA-3709-505BA34,27.0,1000.0,SKD11012050
6,MA-3709-505BA34,1.0,1.0,SKD5Z1253
5,MA-3709-505CA34,28.0,1000.0,SKD11012050
6,MA-3709-505CA34,1.0,1.0,SKD5Z1236
5,MA-3709-514AA34,69.0,1000.0,SKD11030070
6,MA-3709-514AA34,1.0,1.0,SKD7Z3040
5,MA-4206-520AA30,41.0,1000.0,SKD11015067
6,MA-4206-520AA30,1.0,1.0,SKD6G1535
5,MA-4501-505AA26,52.0,1000.0,SKD11012050
6,MA-4501-505AA26,1.0,1.0,SKD5Z1293
5,MA-4501-505AB26,24.0,1000.0,SKD11012050
6,MA-4501-505AB26,1.0,1.0,SKD5Z1248
5,MA-47-611C30,26.0,1000.0,SKD11022067
6,MA-47-611C30,1.0,1.0,SKD6G2220
5,MA-47-612C30,24.0,1000.0,SKD11022067
6,MA-47-612C30,1.0,1.0,SKD6G2218
6,MA-5132-519AA30,1.0,1.0,SKD105020
6,MA-5132-519AA33,1.0,1.0,SKD105020
5,MA-5207-513AA34,74.0,1000.0,SKD11022067
6,MA-5207-513AA34,1.0,1.0,SKD6G2261
5,MA-5517-505AA38,62.0,1000.0,SKD11015067
6,MA-5517-505AA38,1.0,1.0,SKD6G1556
5,MA-5520-569CA34,27.0,1000.0,SKD11027067
6,MA-5520-569CA34,1.0,1.0,SKD6G2718
5,MA-5520-569CA38,27.0,1000.0,SKD11027067
6,MA-5520-569CA38,1.0,1.0,SKD6G2718
5,MA-5528-614AA30,66.0,1000.0,SKD11015067
6,MA-5528-614AA30,1.0,1.0,SKD6G1580
5,MA-5529-505AA34,44.0,1000.0,SKD11012050
6,MA-5529-505AA34,1.0,1.0,SKD5Z1275
5,MA-5534-569BA38,32.0,1000.0,SKD11018060
6,MA-5534-569BA38,1.0,1.0,SKD6Z1836
5,MA-5535-505AA48,44.0,1000.0,SKD11012050
6,MA-5535-505AA48,1.0,1.0,SKD5Z1275
5,MA-5610-505AA30,54.0,1000.0,SKD11015067
6,MA-5610-505AA30,1.0,1.0,SKD6G1565
5,MA-5610-505AA34,54.0,1000.0,SKD11015067
6,MA-5610-505AA34,1.0,1.0,SKD6G1565
5,MA-603-621AL,43.0,1000.0,SKD11022067
6,MA-603-621AL,1.0,1.0,SKD6G2235
5,MA-6101-627AA30,36.0,1000.0,SKD11015067
6,MA-6101-627AA30,1.0,1.0,SKD6G1542
5,MA-6104-626AA38,36.0,1000.0,SKD11015067
6,MA-6104-626AA38,1.0,1.0,SKD6G1542
5,MA-6206-627AB34,58.0,1000.0,SKD11015067
6,MA-6206-627AB34,1.0,1.0,SKD6G1552
5,MA-6206-627BA34,58.0,1000.0,SKD11015067
6,MA-6206-627BA34,1.0,1.0,SKD6G1552
