No,完成部番,単位数分子,単位数分母,前工程
3,100-201B1333,0.0,0.0,
4,100-201B1333,1.0,1.0,MA-165-202AA1531
5,100-201B1333,1.0,1.0,L-100-201B1333
6,100-201B1333,1.0,1,AO-100-201B1333
1,100-201C1081,0.0,0.0,
2,100-201C1081,0.0,0.0,
3,100-201C1081,0.0,0.0,
4,100-201C1081,1.0,1.0,MA-165-202AA1333
5,100-201C1081,1.0,1.0,L-100-201C1081
6,100-201C1081,1.0,1,AO-100-201C1081
1,100-201C1150,0.0,0.0,
2,100-201C1150,0.0,0.0,
3,100-201C1150,0.0,0.0,
4,100-201C1150,1.0,1.0,MA-165-202AA1333
5,100-201C1150,1.0,1.0,L-100-201C1150
6,100-201C1150,1.0,1,AO-100-201C1150
1,100-201C1240,0.0,0.0,
2,100-201C1240,0.0,0.0,
3,100-201C1240,0.0,0.0,
4,100-201C1240,1.0,1.0,MA-165-202AA1333
5,100-201C1240,1.0,1.0,L-100-201C1240
6,100-201C1240,1.0,1,AO-100-201C1240
1,100-201C1333,0.0,0.0,
2,100-201C1333,0.0,0.0,
3,100-201C1333,0.0,0.0,
4,100-201C1333,1.0,1.0,MA-165-202AA1333
5,100-201C1333,1.0,1.0,L-100-201C1333
6,100-201C1333,1.0,1,AO-100-201C1333
1,100-201E0290,0.0,0.0,
2,100-201E0290,0.0,0.0,
3,100-201E0290,0.0,0.0,
4,100-201E0290,0.0,0.0,
5,100-201E0290,1.0,1.0,MA-100-201E0290
6,100-201E0290,1.0,1,AO-100-201E0290
1,100-201E1150,0.0,0.0,
2,100-201E1150,0.0,0.0,
3,100-201E1150,0.0,0.0,
4,100-201E1150,1.0,1.0,MA-165-202AA1333
5,100-201E1150,1.0,1.0,L-100-201E1150
6,100-201E1150,1.0,1,AO-100-201E1150
1,100-201F1081,0.0,0.0,
2,100-201F1081,0.0,0.0,
3,100-201F1081,0.0,0.0,
4,100-201F1081,1.0,1.0,MA-165-202AA1333
5,100-201F1081,1.0,1.0,L-100-201F1081
6,100-201F1081,1.0,1,AO-100-201F1081
1,100-201F1150,0.0,0.0,
2,100-201F1150,0.0,0.0,
3,100-201F1150,0.0,0.0,
4,100-201F1150,1.0,1.0,MA-165-202AA1333
5,100-201F1150,1.0,1.0,L-100-201F1150
6,100-201F1150,1.0,1,AO-100-201F1150
1,100-201F1240,0.0,0.0,
2,100-201F1240,0.0,0.0,
3,100-201F1240,0.0,0.0,
4,100-201F1240,1.0,1.0,MA-165-202AA1333
5,100-201F1240,1.0,1.0,L-100-201F1240
6,100-201F1240,1.0,1,AO-100-201F1240
1,100-201F1333,0.0,0.0,
2,100-201F1333,0.0,0.0,
3,100-201F1333,0.0,0.0,
4,100-201F1333,1.0,1.0,MA-165-202AA1531
5,100-201F1333,1.0,1.0,L-100-201F1333
6,100-201F1333,1.0,1,AO-100-201F1333
1,100-201F1411,0.0,0.0,
2,100-201F1411,0.0,0.0,
3,100-201F1411,0.0,0.0,
4,100-201F1411,1.0,1.0,MA-165-202AA1531
5,100-201F1411,1.0,1.0,L-100-201F1411
6,100-201F1411,1.0,1,AO-100-201F1411
1,100-201JA1333T,0.0,0.0,
2,100-201JA1333T,0.0,0.0,
3,100-201JA1333T,0.0,0.0,
4,100-201JA1333T,1.0,1.0,MA-165-201202CA1150-1333T
5,100-201JA1333T,1.0,1.0,L-100-201JA1333T
6,100-201JA1333T,1.0,1,AO-100-201JA1333T
1,100-202A0800,0.0,0.0,
2,100-202A0800,0.0,0.0,
3,100-202A0800,0.0,0.0,
4,100-202A0800,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202A0800,1.0,1.0,L-100-202A0800
6,100-202A0800,1.0,1,AO-100-202A0800
1,100-202A0930,0.0,0.0,
2,100-202A0930,0.0,0.0,
3,100-202A0930,0.0,0.0,
4,100-202A0930,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202A0930,1.0,1.0,L-100-202A0930
6,100-202A0930,1.0,1,AO-100-202A0930
1,100-202A1081,0.0,0.0,
2,100-202A1081,0.0,0.0,
3,100-202A1081,0.0,0.0,
4,100-202A1081,1.0,1.0,MA-165-201202CA1081-1081T
5,100-202A1081,1.0,1.0,L-100-202A1081
6,100-202A1081,1.0,1,AO-100-202A1081
1,100-202A1150,0.0,0.0,
2,100-202A1150,0.0,0.0,
3,100-202A1150,0.0,0.0,
4,100-202A1150,1.0,1.0,MA-165-201202CA1150-1333T
5,100-202A1150,1.0,1.0,L-100-202A1150
6,100-202A1150,1.0,1,AO-100-202A1150
1,100-202A1150S,0.0,0.0,
2,100-202A1150S,0.0,0.0,
3,100-202A1150S,0.0,0.0,
4,100-202A1150S,1.0,1.0,MA-100-202A1150S
5,100-202A1150S,1.0,1.0,L-100-202A1150S
6,100-202A1150S,1.0,1,AO-100-202A1150S
1,100-202A1240,0.0,0.0,
2,100-202A1240,0.0,0.0,
3,100-202A1240,0.0,0.0,
4,100-202A1240,1.0,1.0,MA-165-201202CA1333-1531T
5,100-202A1240,1.0,1.0,L-100-202A1240
6,100-202A1240,1.0,1,AO-100-202A1240
1,100-202A1240S,0.0,0.0,
2,100-202A1240S,0.0,0.0,
3,100-202A1240S,0.0,0.0,
4,100-202A1240S,1.0,1.0,MA-165-201202CA1150-1333T
