No,完成部番,単位数分子,単位数分母,前工程
6,100-704AA26,1.0,1.0,PA-100-704AA26
6,100-704AA26Y,1.0,1.0,PA-100-704AA26Y
6,100-704AA30,1.0,1.0,PA-100-704AA30
6,100-704AA30P,1.0,1.0,PA-100-704AA30P
6,100-704AA30Y,1.0,1.0,PA-100-704AA30Y
6,100-704AA38,1.0,1.0,PA-100-704AA38
6,101-105-3ZCA,1.0,1.0,PL-101-105-3ZCA
6,101-105-5ZAA,1.0,1.0,PL-101-105-5ZAA
6,1031-12A01AA38,1.0,1.0,PA-1031-12A01AA38
6,1031-12A01CA38,1.0,1.0,PA-1031-12A01CA38
6,103-453,1.0,1.0,PA-103-453
6,1035-12A01AA30,1.0,1.0,PA-1035-12A01AA30
6,1035-12A01BA30,1.0,1.0,PA-1035-12A01BA30
6,1035-12A01CA30,1.0,1.0,PA-1035-12A01CA30
6,1035-12A02AA30,1.0,1.0,PA-1035-12A02AA30
6,1044-439AB,1.0,1.0,MC-1044-439AB
6,1044-442AA,1.0,1.0,MC-1044-442AA
6,1044-449AC,1.0,1.0,PA-1044-449AC
6,1045-307AA,1.0,1.0,PA-1045-307AA
6,1045-432AA,1.0,1.0,PL-1045-432AA
6,1045-437AA,1.0,1.0,PL-1045-437AA
6,1045-453AA,1.0,1.0,PA-1045-453AA
6,1045-455AA,1.0,1.0,PL-1045-455AA
6,1045-460AA,1.0,1.0,PL-1045-460AA
6,1045-463AA,1.0,1.0,PL-1045-463AA
6,1051-12A01AA38,1.0,1.0,PA-1051-12A01AA38
6,1051-12A01BA38,1.0,1.0,PA-1051-12A01BA38
6,1051-12A01CA30,1.0,1.0,PA-1051-12A01CA30
6,1051-12A01CA38,1.0,1.0,PA-1051-12A01CA38
6,1051-12T1238,1.0,1.0,PA-1051-12T1238
6,105-12A01AB48,1.0,1.0,PA-105-12A01AB48
5,105-201AA56,1.0,1.0,L-105-201AA56
6,105-201AA56,1.0,1.0,AO-105-201AA56
5,105-201BA1333,1.0,1.0,L-105-201BA1333
6,105-201BA1333,1.0,1.0,AO-105-201BA1333
5,105-201BA1531,1.0,1.0,L-105-201BA1531
6,105-201BA1531,1.0,1.0,AO-105-201BA1531
5,105-201BA2000,1.0,1.0,L-105-201BA2000
6,105-201BA2000,1.0,1.0,AO-105-201BA2000
5,105-202AB2300,1.0,1.0,L-105-202AB2300
6,105-202AB2300,1.0,1.0,AO-105-202AB2300
5,105-202BA56,1.0,1.0,L-105-202BA56
6,105-202BA56,1.0,1.0,AO-105-202BA56
5,105-202DA1333,1.0,1.0,L-105-202DA1333
6,105-202DA1333,1.0,1.0,AO-105-202DA1333
5,105-202DA1531,1.0,1.0,L-105-202DA1531
6,105-202DA1531,1.0,1.0,AO-105-202DA1531
5,105-202DA2000,1.0,1.0,L-105-202DA2000
6,105-202DA2000,1.0,1.0,AO-105-202DA2000
5,105-202EA1333,1.0,1.0,L-105-202EA1333
6,105-202EA1333,1.0,1.0,AO-105-202EA1333
5,105-202EA1531,1.0,1.0,L-105-202EA1531
6,105-202EA1531,1.0,1.0,AO-105-202EA1531
5,105-202EA1531T,1.0,1.0,L-105-202EA1531T
6,105-202EA1531T,1.0,1.0,AO-105-202EA1531T
5,105-202EA2000,1.0,1.0,L-105-202EA2000
6,105-202EA2000,1.0,1.0,AO-105-202EA2000
6,105-206AA1333,1.0,1.0,L-105-206AA1333
6,105-206AA2000,1.0,1.0,L-105-206AA2000
6,105-210BA,1.0,1.0,MC-105-210BA
