完成部番,前工程1,前工程2,前工程3,前工程4,前工程5,前工程6,前工程7,前工程8,前工程9,前工程10
1045-437AA,PL-1045-437AA,MA-1045-437AA,,,,,,,,
1045-453AA,PA-1045-453AA,MA-1045-453AA,,,,,,,,
1045-455AA,PL-1045-455AA,MA-1045-455AA,,,,,,,,
1045-460AA,PL-1045-460AA,MA-1045-460AA,,,,,,,,
1045-463AA,PL-1045-463AA,MA-1045-463AA,,,,,,,,
1051-12A01AA38,PA-1051-12A01AA38,MA-1051-12A01AA38,,,,,,,,
1051-12A01BA38,PA-1051-12A01BA38,MA-1051-12A01BA38,,,,,,,,
1051-12A01CA30,PA-1051-12A01CA30,MA-1051-12A01CA30,,,,,,,,
1051-12A01CA38,PA-1051-12A01CA38,MA-1051-12A01CA38,,,,,,,,
1051-12T1238,PA-1051-12T1238,MA-1051-12T1238,,,,,,,,
105-12A01AB48,PA-105-12A01AB48,MA-105-12A01AB48,,,,,,,,
105-201AA56,AO-105-201AA56,L-105-201AA56,MA-105-201BA-ROLL,,,,,,,
105-201BA1333,AO-105-201BA1333,L-105-201BA1333,MA-1331-201HA2DA4HA-ROLL,,,,,,,
105-201BA1531,AO-105-201BA1531,L-105-201BA1531,MA-1331-201HA2DA4HA-ROLL,,,,,,,
105-201BA2000,AO-105-201BA2000,L-105-201BA2000,MA-105-201BA-ROLL,,,,,,,
105-202AB2300,AO-105-202AB2300,L-105-202AB2300,MA-1331-201JA-GA-ROLL,,,,,,,
105-202BA56,AO-105-202BA56,L-105-202BA56,MA-1331-201HA2DA4HA-ROLL,,,,,,,
105-202DA1333,AO-105-202DA1333,L-105-202DA1333,MA-1331-201HA2DA4HA-ROLL,,,,,,,
105-202DA1531,AO-105-202DA1531,L-105-202DA1531,MA-1331-201HA2DA4HA-ROLL,,,,,,,
105-202DA2000,AO-105-202DA2000,L-105-202DA2000,MA-105-201BA-ROLL,,,,,,,
105-202EA1333,AO-105-202EA1333,L-105-202EA1333,MA-1331-201JA-GA-ROLL,,,,,,,
105-202EA1531,AO-105-202EA1531,L-105-202EA1531,MA-1331-201JA-GA-ROLL,,,,,,,
105-202EA1531T,AO-105-202EA1531T,L-105-202EA1531T,MA-1331-201JA-GA-ROLL,,,,,,,
105-202EA2000,AO-105-202EA2000,L-105-202EA2000,MA-105-201BA-ROLL,,,,,,,
105-206AA1333,L-105-206AA1333,MA-105-206AA-ROLL,,,,,,,,
105-206AA2000,L-105-206AA2000,MA-105-206AA-ROLL,,,,,,,,
105-210BA,MC-105-210BA,MA-105-210BA,,,,,,,,
105-211AA,MC-105-211AA,MA-105-211AA,,,,,,,,
105-213AA,MA-105-213AA,,,,,,,,,
105-213BA,PA-105-213BA,MC2-105-213BA,MC1-105-213BA,MA-105-213BA,,,,,,
105-213CA,MA-105-213CA,,,,,,,,,
