ID,SKDK,KUMITATENO,MODEL,INCH,GAUGE,SETU_F,KOSUU,SEISANJI,KUMIKAISHI,KUMIKAISHI_DATE,CAT2,TUKI,KumitatenoLen,TYPE,KUMITATENO_Job,JOB_1_0,JOB_1,JOB_2_0,JOB_2,JOB_3_0,JOB_3,JOB_4_0,JOB_4,JOB_5_0,JOB_5,JOB_6_0,JOB_6,JOB_7_0,JOB_7,JOB_8_0,JOB_8,DENPYONO
338,DK,L019,OD6B-M-8MES,34.0,32,478-409AA34,1,25117,20251110,2025-11-11 00:00:00,D409,2511,4,478,L019,2025-11-04 00:00:00,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,,,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,F000125177
339,DK,L020,OD6B-M-8MES,34.0,32,478-409AA34,1,25117,20251110,2025-11-11 00:00:00,D409,2511,4,478,L020,2025-11-04 00:00:00,,2025-11-04 00:00:00,,2025-11-05 00:00:00,,,,2025-11-06 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,F000125179
34,DK,K048,M-9ME22,30.0,28,478-409AA30,1,25108,20251015,2025-10-16 00:00:00,D409,2510,4,478,K048,2025-10-09 00:00:00,2025-10-07 00:00:00,2025-10-09 00:00:00,2025-10-08 00:00:00,2025-10-10 00:00:00,2025-10-08 00:00:00,,,2025-10-14 00:00:00,2025-10-09 00:00:00,2025-10-15 00:00:00,2025-10-09 00:00:00,2025-10-15 00:00:00,2025-10-10 00:00:00,,,F000123351
340,DK,L031,OD5B-M-9ME42,34.0,22,478-409AA34,1,25111,20251020,2025-10-21 00:00:00,D409,2511,4,478,L031,2025-10-15 00:00:00,2025-10-09 00:00:00,2025-10-15 00:00:00,2025-10-09 00:00:00,2025-10-16 00:00:00,2025-10-09 00:00:00,,,2025-10-17 00:00:00,,2025-10-20 00:00:00,,2025-10-20 00:00:00,,,,F000123577
341,DK,L032,OD5B-M-9ME42,34.0,22,478-409AA34,1,25111,20251020,2025-10-21 00:00:00,D409,2511,4,478,L032,2025-10-15 00:00:00,2025-10-08 00:00:00,2025-10-15 00:00:00,2025-10-09 00:00:00,2025-10-16 00:00:00,2025-10-09 00:00:00,,,2025-10-17 00:00:00,,2025-10-20 00:00:00,,2025-10-20 00:00:00,,,,F000123600
342,DK,L033,OD5B-M-9ME42,34.0,22,478-409AA34,1,25111,20251020,2025-10-21 00:00:00,D409,2511,4,478,L033,2025-10-15 00:00:00,2025-10-07 00:00:00,2025-10-15 00:00:00,2025-10-07 00:00:00,2025-10-16 00:00:00,2025-10-08 00:00:00,,,2025-10-17 00:00:00,2025-10-08 00:00:00,2025-10-20 00:00:00,2025-10-08 00:00:00,2025-10-20 00:00:00,2025-10-10 00:00:00,,,F000123623
343,DK,L034,OD5B-M-9ME42,34.0,22,478-409AA34,1,25111,20251020,2025-10-21 00:00:00,D409,2511,4,478,L034,2025-10-15 00:00:00,2025-10-07 00:00:00,2025-10-15 00:00:00,2025-10-07 00:00:00,2025-10-16 00:00:00,2025-10-08 00:00:00,,,2025-10-17 00:00:00,2025-10-08 00:00:00,2025-10-20 00:00:00,2025-10-09 00:00:00,2025-10-20 00:00:00,2025-10-09 00:00:00,,,F000123646
344,DK,L049,OD5B-M-9ME22,34.0,28,478-409AA34,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,478,L049,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125590
345,DK,L050,OD5B-M-9ME22,34.0,28,478-409AA34,1,25118,20251112,2025-11-13 00:00:00,D409,2511,4,478,L050,2025-11-07 00:00:00,,2025-11-07 00:00:00,,2025-11-10 00:00:00,,,,2025-11-11 00:00:00,,2025-11-12 00:00:00,,2025-11-12 00:00:00,,,,F000125613
346,DK,K7280,OD6B-M-8ERS,34.0,18,478-409AA34,1,25110,20251127,2025-11-27 00:00:00,D409,2511,5,478,K7280,2025-11-20 00:00:00,,2025-11-20 00:00:00,,2025-11-21 00:00:00,,,,2025-11-25 00:00:00,,2025-11-26 00:00:00,,2025-11-26 00:00:00,,,,F000125880
