HMCD,BUCD,SRCD,UNIT,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
MA-100-110C,100,1484,PC,2013/6/1,1,590.0,,2
MA-631-604,100,1484,PC,2013/6/1,1,45.0,,2
MA-DC-3903,100,1484,PC,2013/6/1,1,776.0,,2
MA-GS-215AA,100,1484,PC,2013/6/1,1,1170.0,,2
MA-GS-215BA,100,1484,PC,2013/6/1,1,2467.0,,2
MA-GS-215CA,100,1484,PC,2013/6/1,1,2679.0,,2
MA-GS-215DA,100,1484,PC,2013/6/1,1,2806.0,,2
MA-110-453-30,100,1508,PC,2013/6/1,1,16150.0,,2
MA-110-453-38,100,1508,PC,2013/6/1,1,20000.0,,2
MA-G-2924AA,100,1508,PC,2013/6/1,1,657.0,,2
MA-G-2924BA,100,1508,PC,2013/6/1,1,552.0,,2
MA-980-310AA,100,1519,PC,2013/6/1,1,3685.0,,2
MA-980-468AA,100,1525,PC,2017/11/1,1,231.0,,2
MA-KF12-00901AB30,100,1591,PC,2024/5/17,1,30320.0,,2
MA-KF12-00901AB36,100,1591,PC,2024/5/17,1,33680.0,,2
MA-KF12-00901AB42,100,1591,PC,2024/5/27,1,43351.0,,2
MA-KF12-00902AB30,100,1591,PC,2024/5/17,1,29100.0,,2
MA-KF12-00902AB36,100,1591,PC,2024/5/17,1,32310.0,,2
MA-KF12-00902AB42,100,1591,PC,2024/5/27,1,41766.0,,2
MA-KF12-00903AB30,100,1591,PC,2024/5/17,1,30450.0,,2
MA-KF12-00903AB36,100,1591,PC,2024/5/17,1,33820.0,,2
MA-KF12-00903AB42,100,1591,PC,2024/5/27,1,43495.0,,2
MA-KF12-00904AB30,100,1591,PC,2024/5/17,1,29220.0,,2
MA-KF12-00904AB36,100,1591,PC,2024/5/17,1,32460.0,,2
MA-KF12-00904AB42,100,1591,PC,2024/5/27,1,41903.0,,2
E-15001LC,100,1592,PC,2013/6/1,1,10507.0,,2
E-15001LC,100,1592,PC,2016/4/22,0,11000.0,,2
MA-0106-12A01CA20,100,1592,PC,2013/6/1,1,77700.0,,2
MA-100-105BA26,100,1592,PC,2013/6/1,1,60500.0,,2
MA-100-105BA30,100,1592,PC,2013/6/1,1,51000.0,,2
MA-100-105BA38,100,1592,PC,2013/6/1,1,65000.0,,2
MA-100-105BB26,100,1592,PC,2013/6/1,1,60500.0,,2
MA-100-105BB30,100,1592,PC,2013/6/1,1,51000.0,,2
MA-100-105BB38,100,1592,PC,2013/6/1,1,65000.0,,2
MA-1045-463AA,100,1592,PC,2013/6/1,1,1800.0,,2
MA-106-12A01BA20,100,1592,PC,2013/6/1,1,78200.0,,2
MA-1155-307AA48,100,1592,PC,2013/6/1,1,8000.0,,2
MA-1155-307BA48,100,1592,PC,2013/6/1,1,13000.0,,2
MA-1155-307CA48,100,1592,PC,2013/6/1,1,9000.0,,2
MA-1331-125AA,100,1592,PC,2013/6/1,1,8500.0,,2
MA-1331-127AA,100,1592,PC,2013/6/1,1,4300.0,,2
MA-1351-12A01CA30,100,1592,PC,2013/6/1,1,67500.0,,2
MA-1351-12A01FA30,100,1592,PC,2013/6/1,1,99000.0,,2
MA-1351-12T1230,100,1592,PC,2013/6/1,1,73200.0,,2
MA-1355-310BA,100,1592,PC,2024/8/29,2,5000.0,,2
MA-1531-12A01CA30,100,1592,PC,2013/6/1,1,66600.0,,2
MA-161-105BD38,100,1592,PC,2013/6/1,1,16200.0,,2
MA-161-105BEN30-1A,100,1592,PC,2013/6/1,1,1800.0,,2
MA-161-105BEN30-2A,100,1592,PC,2013/6/1,1,1800.0,,2
MA-161-105BEN30-3A,100,1592,PC,2013/6/1,1,1800.0,,2
MA-161-105BEN30-6A,100,1592,PC,2013/6/1,1,1000.0,,2
MA-161-105BEN30-7A,100,1592,PC,2013/6/1,1,1000.0,,2
MA-161-105BEN30-8A,100,1592,PC,2013/6/1,1,1200.0,,2
MA-161-105CD38,100,1592,PC,2013/6/1,1,16200.0,,2
MA-1631-105-4BC,100,1592,PC,2019/3/27,0,600.0,,2
MA-1631-105-4BC,100,1592,PC,2022/6/18,1,660.0,,2
MA-1631-105-4BD,100,1592,PC,2019/3/27,0,600.0,,2
MA-1631-105-4BD,100,1592,PC,2022/6/18,1,660.0,,2
MA-1631-105-4BE,100,1592,PC,2018/4/11,1,300.0,,2
MA-1631-105-4BF,100,1592,PC,2018/4/11,1,300.0,,2
MA-1631-105-4CE,100,1592,PC,2018/4/11,1,300.0,,2
MA-1631-105-4CF,100,1592,PC,2018/4/11,1,300.0,,2
MA-1631-105-4DA,100,1592,PC,2016/1/12,0,146.0,,2
MA-1631-105-4DA,100,1592,PC,2017/9/1,0,140.16,,2
MA-1631-105-4DA,100,1592,PC,2017/9/7,0,141.0,,2
MA-1631-105-4DA,100,1592,PC,2022/6/28,0,156.0,,2
MA-1631-105HD30,100,1592,PC,2013/6/1,1,3500.0,,2
MA-1631-105HD30,100,1592,PC,2022/6/18,1,3850.0,,2
MA-1631-105HJ30,100,1592,PC,2021/6/21,0,7200.0,,2
MA-1631-105HJ30,100,1592,PC,2021/8/16,0,7200.0,,2
MA-1631-105HJ30,100,1592,PC,2022/6/18,1,7920.0,,2
MA-1631-106AA-1A,100,1592,PC,2013/6/1,1,7500.0,,2
MA-1631-106AA-1A,100,1592,PC,2022/6/18,1,8250.0,,2
MA-1631-106AA-2A,100,1592,PC,2013/6/1,1,1500.0,,2
MA-1631-106AA-2A,100,1592,PC,2022/6/18,1,1650.0,,2
MA-1631-106AA-3A,100,1592,PC,2013/6/1,1,1500.0,,2
MA-1631-106AA-3A,100,1592,PC,2022/6/18,1,1650.0,,2
MA-1631-108AA,100,1592,PC,2013/6/1,1,1200.0,,2
MA-1631-108AA,100,1592,PC,2022/6/18,1,1320.0,,2
MA-1731-12A01BA24,100,1592,PC,2013/6/1,1,57200.0,,2
MA-1751-12A01BA24,100,1592,PC,2013/6/1,1,60000.0,,2
MA-1751-12A01CA17,100,1592,PC,2013/6/1,1,56900.0,,2
MA-201-646BA,100,1592,PC,2013/6/1,1,285.0,,2
MA-226-531A30,100,1592,PC,2013/6/1,1,150.0,,2
MA-226-531A33,100,1592,PC,2013/6/1,1,141.0,,2
MA-226-531AA36,100,1592,PC,2013/6/1,1,128.0,,2
MA-226-531B30,100,1592,PC,2013/6/1,1,350.0,,2
MA-226-531B33,100,1592,PC,2013/6/1,1,120.0,,2
MA-226-531BA36,100,1592,PC,2013/6/1,1,340.0,,2
MA-226-531C30,100,1592,PC,2013/6/1,1,350.0,,2
MA-226-531C33,100,1592,PC,2013/6/1,1,189.0,,2
MA-226-531CA36,100,1592,PC,2013/6/1,1,340.0,,2
MA-226-633A30,100,1592,PC,2013/6/1,1,680.0,,2
MA-226-633AA36,100,1592,PC,2013/6/1,1,680.0,,2
MA-226-633BA36,100,1592,PC,2013/6/1,1,400.0,,2
MA-226-633CA36,100,1592,PC,2013/6/1,1,400.0,,2
MA-226-633D30,100,1592,PC,2013/6/1,1,1020.0,,2
MA-226-633DA36,100,1592,PC,2013/6/1,1,680.0,,2
MA-226-633E30,100,1592,PC,2013/6/1,1,1020.0,,2
MA-226-633EA36,100,1592,PC,2013/6/1,1,680.0,,2
MA-226-633FA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-226-633GA33,100,1592,PC,2013/6/1,1,400.0,,2
MA-226-633HA33,100,1592,PC,2013/6/1,1,400.0,,2
MA-226-633JA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-226-633KA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-266-633FA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-266-633FA33,100,1592,PC,2022/6/18,1,770.0,,2
MA-266-633GA33,100,1592,PC,2013/6/1,1,400.0,,2
MA-266-633HA33,100,1592,PC,2013/6/1,1,400.0,,2
MA-266-633JA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-266-633JA33,100,1592,PC,2022/6/18,1,770.0,,2
MA-266-633KA33,100,1592,PC,2013/6/1,1,700.0,,2
MA-266-633RA33,100,1592,PC,2013/6/1,1,400.0,,2
MA-269-661A30,100,1592,PC,2013/6/1,1,454.0,,2
MA-269-661A33,100,1592,PC,2013/6/1,1,454.0,,2
MA-278-609B,100,1592,PC,2013/6/1,1,134.0,,2
MA-278-609B33,100,1592,PC,2013/6/1,1,157.0,,2
MA-283-633AA33,100,1592,PC,2013/6/1,1,672.0,,2
MA-283-633BA33,100,1592,PC,2013/6/1,1,800.0,,2
MA-283-633CA33,100,1592,PC,2013/6/1,1,800.0,,2
MA-3151-508AA30,100,1592,PC,2013/6/1,1,450.0,,2
MA-3151-508BA30,100,1592,PC,2013/6/1,1,350.0,,2
MA-3151-508BA34,100,1592,PC,2015/11/30,0,350.0,,2
MA-3153-508AA30,100,1592,PC,2013/6/1,1,450.0,,2
MA-3237-508AA26,100,1592,PC,2017/5/16,0,310.0,,2
MA-3501-66053EB26,100,1592,PC,2013/6/1,1,1998.0,,2
MA-355-633FA30,100,1592,PC,2021/5/13,0,900.0,,2
MA-355-633FA30,100,1592,PC,2022/6/18,1,990.0,,2
MA-355-633GA30,100,1592,PC,2013/6/1,1,400.0,,2
MA-355-633HA30,100,1592,PC,2013/6/1,1,700.0,,2
MA-355-633HA30,100,1592,PC,2021/5/13,0,900.0,,2
MA-355-633HA30,100,1592,PC,2022/6/18,1,990.0,,2
MA-485-532AA30,100,1592,PC,2013/6/1,1,361.0,,2
MA-485-532AA30,100,1592,PC,2022/6/18,1,398.0,,2
MA-485-532AA34,100,1592,PC,2013/6/1,1,183.0,,2
MA-485-533AA33,100,1592,PC,2013/6/1,1,200.0,,2
MA-485-533AA34,100,1592,PC,2013/6/1,1,187.0,,2
MA-485-533AA34,100,1592,PC,2022/6/18,1,206.0,,2
MA-485-533AB30,100,1592,PC,2013/6/1,1,178.0,,2
MA-485-533AB30,100,1592,PC,2022/6/18,1,196.0,,2
MA-485-533BA33,100,1592,PC,2013/6/1,1,450.0,,2
MA-485-533BA34,100,1592,PC,2013/6/1,1,364.0,,2
MA-485-533BA34,100,1592,PC,2022/6/18,1,401.0,,2
MA-485-533BB30,100,1592,PC,2013/6/1,1,356.0,,2
MA-485-533BB30,100,1592,PC,2022/6/18,1,392.0,,2
MA-485-533CA33,100,1592,PC,2013/6/1,1,450.0,,2
MA-485-533CA34,100,1592,PC,2013/6/1,1,364.0,,2
MA-485-533CA34,100,1592,PC,2022/6/18,1,401.0,,2
MA-485-533CB30,100,1592,PC,2013/6/1,1,356.0,,2
MA-485-533CB30,100,1592,PC,2022/6/18,1,392.0,,2
