HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN,INSTID,INSTDT,UPDTID,UPDTDT
100-202A0930,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A0930,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A1150S,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A1150S,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202A1240S,1,10,L,無し,仮,0,0,75,0,10,,,2,2,,,,
100-202A1240S,2,20,AO（無）,無し,仮,0,0,75,0,10,,,2,2,,,,
100-202A1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202A1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202AB1240S,1,10,L,3254,仮,0,0,0,0,10,,,2,2,,,,
100-202AB1240S,2,20,AO（無）,3070,仮,0,0,0,0,10,,,2,2,,,,
100-202B0800,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B0800,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202B0930,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B0930,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202B1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202B1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202B1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202B1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202B1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202E1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202E1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1240S,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1240S,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1333T,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1333T,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1411,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202EB1411,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202F1081,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202F1081,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202F1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202F1150,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202F1240,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202F1240,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202F1333,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202F1333,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-202F1411,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-202F1411,2,20,AO（無）,3070,仮,0,0,75,0,10,,,2,2,,,,
100-204AA,1,10,MC,3399,仮,0,0,0,0,10,,,2,2,,,,
100-204BA,1,10,MC,3399,仮,0,0,0,0,10,,,2,2,,,,
100-204BA,2,20,PA,3399,仮,0,0,0,0,10,,,2,2,,,,
100-205AA,1,10,MC,3399,仮,0,0,0,0,10,,,2,2,,,,
100-205BA,1,10,MC,3399,仮,0,0,0,0,10,,,2,2,,,,
100-205BA,2,20,PA,3399,仮,0,0,0,0,10,,,2,2,,,,
100-205FA,1,10,MC,3399,仮,0,0,0,0,10,,,2,2,,,,
100-205FA,2,20,PA,3399,仮,0,0,0,0,10,,,2,2,,,,
100-206C1333,1,10,L,無し,仮,0,0,20,0,10,,,2,2,,,,
100-206D1150,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-206D1411,1,10,L,3254,仮,0,0,75,0,10,,,2,2,,,,
100-208-AA0490,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA0700,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA0800,1,10,PL,3158,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA0930,1,10,PL,3158,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA1081,1,10,PL,3158,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA1150,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA1240,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA1333,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
100-208-AA1531,1,10,PL,3861,仮,0,0,50,0,10,,,2,2,,,,
