No.,記入日,記入者,発注部番（数字・ｶﾀｶﾅは半角）,品名（数字・ｶﾀｶﾅは半角）,個数,単価,納期（必須）,工具受領日,業者コード,業者名略称,合計金額,備考,注文書発行日,注文番号,検収日,部品注文番号／組立番号／製作依頼番号,完成部番,比率（分子（素材））,比率（分母（完成部番））,備考
66,10/2,宮木,SKD11-6.15X50X200,SKD11 6.15(±0.02)×50(±0.1)×200(±0.1) ,50,"2,400",2018/10/9,済,3045,大同DMソリューション（株）,"120,000",10/2植木殿メール,2018/10/3,E3227595,2018/10/17,,,,,
67,10/2,宮木,SKD11-4.8X50X200,SKD11 4.8(±0.02)×50(±0.1)×200(±0.1) ,50,"2,790",2018/10/9,済,3315,京阪プレ－ト,"139,500",10/2植木殿メール,2018/10/3,E3227596,2018/10/17,,,,,
68,10/9,宮木,SK3-7.9X50X390,SK3 4F 7.9(±0.05)X50(±0.1)X390,2,"2,890",2018/10/11,済,3315,京阪プレ－ト,"5,780",10/9万代殿メール,2018/10/9,E3237487,2018/10/17,,,,,
69,10/9,宮木,SKH4-2.5X45X100,SKH4-2.5(-0.01～-0.03)X45X100,1,"9,350",2018/10/23,済,3315,京阪プレ－ト,"9,350",10/9植木殿メール,2018/10/9,E3237488,2018/10/30,,,,,
70,10/9,宮木,SKH55-2.5X50X100,SKH55-2.5(-0.01～-0.03)X50X100,1,"8,110",2018/10/22,済,3315,京阪プレ－ト,"8,110",10/9植木殿メール,2018/10/9,E3237489,2018/10/30,,,,,
71,10/9,宮木,SKH4-3.5X45X100,SKH4-3.5(±0.03)X45X100,1,"8,610",2018/10/23,済,3315,京阪プレ－ト,"8,610",10/9植木殿メール,2018/10/9,E3237490,2018/10/30,,,,,
72,10/9,宮木,SKH55-3.5X50X100,SKH55-3.5(±0.03)X50X100,1,"7,360",2018/10/22,済,3315,京阪プレ－ト,"7,360",10/9植木殿メール,2018/10/9,E3237491,2018/10/30,,,,,
73,10/11,宮木,S50C-32X120X200,S50C 6F 32+-0.1X120+-0.1X200+-0.1,2,"2,800",2018/10/15,済,3315,京阪プレ－ト,"5,600",10/11阪本殿メール,2018/10/12,E3244190,2018/10/17,,,,,
74,10/11,宮木,SKD11-20X30X40,SKD11 20(±0.1)X30(±0.1)X40(±0.1) ,6,"1,080",2018/10/15,済,3315,京阪プレ－ト,"6,480",10/11阪本殿メール,2018/10/12,E3244191,2018/10/17,,,,,
75,10/25,宮木,FC250-32X143X194.2,FC250-32X143X194.2,1,"4,360",2018/11/1,済,3315,京阪プレ－ト,"4,360",10/25植木殿メール,2018/10/25,E3263662,2018/11/8,,,,,
76,10/26,宮木,HAKU-PB-14X33X35,ﾘﾝ青銅　切板　14X33X35,1,"2,011",2018/10/30,済,1136,白銅（株）,"2,011",10/26植木殿メール,2018/10/29,E3268334,2018/11/7,,,,,
77,10/29,宮木,SKD11-9.8X50X200,SKD11 9.8(±0.02)×50(±0.1)×200(±0.1) ,100,"2,600",2018/11/2,済,3045,大同DMソリューション（株）,"260,000",10/29植木殿メール,2018/10/29,E3268333,2018/11/16,,,,,
78,10/30,宮木,SKD11-5.2X50X200,SKD11 5.2(±0.02)X50(±0.1)X200(±0.1) ,35,"2,840",2018/11/2,済,3315,京阪プレ－ト,"99,400",10/29植木殿メール,2018/10/30,E3270485,2018/11/12,,,,,
79,10/30,宮木,SKD11-6.0X50X200,SKD11 6.0(±0.02)X50(±0.1)X200(±0.1) ,50,"2,700",2018/11/2,済,3315,京阪プレ－ト,"135,000",10/29植木殿メール,2018/10/30,E3270486,2018/11/19,,,,,
80,10/30,宮木,SKD11-6.0X50X200,SKD11 6.0(±0.02)×50(±0.1)×200(±0.1) ,60,"2,400",2018/11/5,済,3045,大同DMソリューション（株）,"144,000",10/30植木殿メール,2018/10/30,E3270487,2018/11/16,,,,,
81,10/30,宮木,SKD11-8.0X50X200,SKD11 8.0(±0.02)×50(±0.1)×200(±0.1) ,15,"2,500",2018/11/5,済,3045,大同DMソリューション（株）,"37,500",10/30植木殿メール,2018/10/30,E3270488,2018/11/16,,,,,
82,10/30,宮木,SKD11-7.65X50X200,SKD11 7.65(±0.02)×50(±0.1)×200(±0.1) ,35,"2,400",2018/11/5,済,3045,大同DMソリューション（株）,"84,000",10/30植木殿メール,2018/10/30,E3270489,2018/11/16,,,,,
83,11/6,宮木,S45C-6X14.5X22,S45C 6F  6X14.5X22,65,540,2018/11/9,済,3315,京阪プレ－ト,"35,100",11/6植木殿メール,2018/11/7,E3286677,2018/11/19,,,,,
84,11/13,宮木,SCM440-21X70X250,SCM440 6F  21(±0.1)×70(±0.1)×250(±0.1) ,2,"3,550",2018/11/16,済,3315,京阪プレ－ト,"7,100",11/13阪本殿メール,2018/11/16,E3298617,2018/11/26,,,,,
