区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
I,815-501BA26,1.0,1,LA-1531-501CA26-DF,1.0,1.0,L1-1531-501CA26,1.0,1.0,MA-1531-501CA26,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,C815-406CA26,1.0,1,LA-C815-406CA26-MC,1.0,1.0,LA-C815-406CA26-D,1.0,1.0,L1-C815-406CA26,1.0,1.0,MA-C815-406CA26,0.0,0.0,,0.0,0.0,
I,815-60826,1.0,1,L1-814-60826,1.0,1.0,MA-814-60826,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,954-601EA26,1.0,1,L1-954-60126,1.0,1.0,MA-954-60126,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-418AA36,1.0,6,MA-1831-418AA36-DRUM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-501AA38,1.0,1,LA-1831-501AA38-DF,1.0,1.0,L1-1831-501AA38,1.0,1.0,MA-1831-501AA38,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-401AA42,1.0,1,LA-1831-401AA42-DF,1.0,1.0,LA-1831-401AA42-D,1.0,1.0,L1-1831-401AA42,1.0,1.0,MA-1831-401AA42,0.0,0.0,,0.0,0.0,
I,1831-406AA38,1.0,1,LA-1831-406AA38-MC,1.0,1.0,LA-1831-406AA38-D,1.0,1.0,L1-1831-406AA38,1.0,1.0,MA-1831-406AA38,0.0,0.0,,0.0,0.0,
I,1831-401AB42,1.0,1,LA-1831-401AA42-DF,1.0,1.0,LA-1831-401AA42-D,1.0,1.0,L1-1831-401AA42,1.0,1.0,MA-1831-401AA42,0.0,0.0,,0.0,0.0,
I,1831-103AA36,1.0,1,MA-1831-103AA36,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-418AA42,1.0,6,MA-1831-418AA42-DRUM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,4117-601FA30,1.0,1,L1-748-601AA30,1.0,1.0,MA-748-601AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,59-405A120,1.0,1,L1-59-405A12-S,1.0,1.0,MA-59-405A12-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,59-409B120,1.0,1,L1-59-409B12-S,1.0,1.0,MA-59-409B12-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,59-409B100,1.0,1,L1-59-409B10-S,1.0,1.0,MA-59-409B10-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,59-409B110,1.0,1,L1-59-409B11-S,1.0,1.0,MA-59-409B11-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-501AA32,1.0,1,LA-1831-501AA32-DF,1.0,1.0,L1-1831-501AA32,1.0,1.0,MA-1831-501AA32,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-501BA32,1.0,1,LA-1831-501BA32-DF,1.0,1.0,L1-1831-501BA32,1.0,1.0,MA-1831-501BA32,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1831-406AA32,1.0,1,LA-1831-406AA32-MC,1.0,1.0,LA-1831-406AA32-D,1.0,1.0,L1-1831-406AA32,1.0,1.0,MA-1831-406AA32,0.0,0.0,,0.0,0.0,
I,3164-502AA32,1.0,1,L1-3164-502AA32,1.0,1.0,MA-3164-502AA32,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,335-409EA360,1.0,1,L1-478-409BA36-S,1.0,1.0,MA-478-409BA36-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,4117-601FA32,1.0,1,L1-748-601AA32,1.0,2.0,MA-631-60132-DRUM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,78-405EA360,1.0,1,L1-78-40536-S,1.0,1.0,MA-78-40536-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
H,87-405SA300,1.0,1,L1-87-405EA30-S,1.0,1.0,MA-87-40530-S,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
