No,完成部番,単位数分子,単位数分母,前工程
6,3166-652AA24,1.0,4,L1-720-65224-DRUM
1,6110-501AA38,0.0,0.0,
2,6110-501AA38,0.0,0.0,
3,6110-501AA38,0.0,0.0,
4,6110-501AA38,1.0,1.0,MA-5500-501GA38
5,6110-501AA38,1.0,1.0,L1-5500-501GA38
6,6110-501AA38,1.0,1,LA-5500-501GA38-DF
1,6110-641AA38,0.0,0.0,
2,6110-641AA38,0.0,0.0,
3,6110-641AA38,0.0,0.0,
4,6110-641AA38,0.0,0.0,
5,6110-641AA38,1.0,1.0,MA-485-641BA38-DRUM
6,6110-641AA38,1.0,4,L1-485-641BA38-DRUM
1,6110-601AA38,0.0,0.0,
2,6110-601AA38,0.0,0.0,
3,6110-601AA38,0.0,0.0,
4,6110-601AA38,1.0,1.0,MA-6104-601AA38
5,6110-601AA38,1.0,1.0,L1-6104-601BA38
6,6110-601AA38,1.0,1,LA-6104-601BA38-L2
1,6110-502BA38,0.0,0.0,
2,6110-502BA38,0.0,0.0,
3,6110-502BA38,0.0,0.0,
4,6110-502BA38,0.0,0.0,
5,6110-502BA38,1.0,52.0,MA-RH-0207D-01AA
6,6110-502BA38,1.0,1,MC-RH-0207D-01AA50
1,6110-502GA38,0.0,0.0,
2,6110-502GA38,0.0,0.0,
3,6110-502GA38,0.0,0.0,
4,6110-502GA38,0.0,0.0,
5,6110-502GA38,1.0,52.0,MA-RH-0207D-01AA
6,6110-502GA38,1.0,1,MC-RH-0207D-01AA50
1,6110-502JA38,0.0,0.0,
2,6110-502JA38,0.0,0.0,
3,6110-502JA38,0.0,0.0,
4,6110-502JA38,0.0,0.0,
5,6110-502JA38,1.0,52.0,MA-RH-0207D-01AA
6,6110-502JA38,1.0,1,MC-RH-0207D-01AA50
1,6110-502EA38,0.0,0.0,
2,6110-502EA38,0.0,0.0,
3,6110-502EA38,0.0,0.0,
4,6110-502EA38,1.0,1.0,MA-5546-502AA38
5,6110-502EA38,1.0,1.0,L1-5546-502AA38
6,6110-502EA38,1.0,1,PL-6110-502EA38
1,3153-502FA36,0.0,0.0,
2,3153-502FA36,0.0,0.0,
3,3153-502FA36,0.0,0.0,
4,3153-502FA36,0.0,0.0,
5,3153-502FA36,1.0,1.0,MA-600-502AA36
6,3153-502FA36,1.0,1,L1-3153-502AC36
1,6110-602AA38,0.0,0.0,
2,6110-602AA38,0.0,0.0,
3,6110-602AA38,0.0,0.0,
4,6110-602AA38,0.0,0.0,
5,6110-602AA38,0.0,0.0,
6,6110-602AA38,1.0,1,MA-RH-0031K-06SA
1,6110-602CA38,0.0,0.0,
2,6110-602CA38,0.0,0.0,
3,6110-602CA38,0.0,0.0,
4,6110-602CA38,0.0,0.0,
5,6110-602CA38,0.0,0.0,
6,6110-602CA38,1.0,1,MA-RH-0031K-06SA
1,6110-602DA38,0.0,0.0,
2,6110-602DA38,0.0,0.0,
3,6110-602DA38,0.0,0.0,
4,6110-602DA38,0.0,0.0,
5,6110-602DA38,0.0,0.0,
6,6110-602DA38,1.0,1,MA-RH-0031K-06SA
1,6110-602EA38,0.0,0.0,
2,6110-602EA38,0.0,0.0,
3,6110-602EA38,0.0,0.0,
4,6110-602EA38,0.0,0.0,
5,6110-602EA38,0.0,0.0,
6,6110-602EA38,1.0,1,MA-RH-0031K-06SA
1,3139-608BA36,0.0,0.0,
2,3139-608BA36,0.0,0.0,
3,3139-608BA36,0.0,0.0,
4,3139-608BA36,0.0,0.0,
