,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,,,,,,,,
I,161-406JB33-KYOUEI,1,1,LA-161-406JB33-MC-KYOUEI,1,1,MA-161-406JA33,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/10,,,協栄用工程,,,,,,,,
I,1751-406CB17,1,1,LA-1751-406CB17-MC,1,1,L1-1751-406CB17,1,1,MA-1751-406CB17,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/29,,,新規部品対応,,,,,,,,
I,1751-406CB20,1,1,LA-1751-406CB20-MC,1,1,L1-1751-406CB20,1,1,MA-1751-406CB20,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/8/29,,,新規部品対応,,,,,,,,
I,1751-406CB18,1,1,LA-1751-406CB18-MC,1,1,L1-1751-406CB18,1,1,MA-1751-406CB18,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/9/5,,,新規部品対応,,,,,,,,
I,1751-406CB21,1,1,LA-1751-406CB21-MC,1,1,L1-1751-406CB21,1,1,MA-1751-406CB21,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,岩下,2022/9/5,,,新規部品対応,,,,,,,,
H,6211-409AA340,1,1,L1-5516-409AA34-S,1,1,MA-5516-409AA34-S,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,木本,20120204,,,,,,,,,,,
I,130-407AA13,1,1,L2-130-407AA13,1,1,L1-130-407AA13,1,1,MA-130-407AA13,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20180220,新規部品対応,,,,,,,,
I,1355-414AA,1,1,L2-1355-414AA,1,1,L1-1355-414AA,1,1,MA-1355-414AA,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,杉本,20170508,2017-7月　V-LEC6F久しぶり　,,,,,,,,
I,1355-417AB24,1,3,MA-1355-417AB24-DRUM,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,岩下,20240612,トミナガＬ2、L1加工不可の為、社内加工へ変更（初崎さん確認）L2-1355-417AB24、L1-1355-417AB24削除,,,,,,,,
I,5521-601AB19,1,1,LA-1355-601BA19-L2,1,1,L1-1355-601BA19,1,1,MA-1355-601BA19,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,濱川,20150507,山田,20190305,L2工程追加,,,,,,,,
