区分コード,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
J,1355-420AA,1.0,1,PEFIN-1355-420AA,1.0,1.0,PA-1355-420AA,1.0,1.0,MA-1355-420AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5520-502JD,1.0,1,PEFIN-5520-502JD,1.0,1.0,MC-RP-0359-01AD,1.0,1.0,MA-RP-0359-01AD,0.0,0.0,,0.0,0.0,,0.0,0.0,
J,120-451CA,1.0,1,PEFIN-120-451CA,1.0,1.0,PA-120-451CA,1.0,1.0,MA-120-451CA,0.0,0.0,,0.0,0.0,,0.0,0.0,
J,KF43-00103BA,1.0,1,PEFIN-KF43-00103BA,1.0,1.0,PA-KF43-00103BA,1.0,1.0,MA-KF43-00103BA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5142-502AA33,1.0,1,PEFIN-5142-502AA33,1.0,1.0,L1-5135-502AA33,1.0,1.0,MA-5135-502AA33,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,TS-5259-406CB30,1.0,1,PEFIN-TS-5259-406CB30,1.0,1.0,LA-TS-5259-406CB30-MC,1.0,1.0,LA-TS-5259-406CB30-D,1.0,1.0,L1-TS-5259-406CB30,1.0,1.0,MA-TS-5259-406CB30,0.0,0.0,
I,TS-5259-401CA30,1.0,1,PEFIN-TS-5259-401CA30,1.0,1.0,L1-TS-5259-401CA30,1.0,1.0,MA-TS-5259-401CA30,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1751-411AA21,1.0,1,PEFIN-1751-411AA21,1.0,1.0,LA-1751-411AA21-MC,1.0,1.0,L2-1751-411AA21,1.0,1.0,L1-1751-411AA21,1.0,1.0,MA-1751-411AA21,0.0,0.0,
I,TS-5380AA30,1.0,1,PEFIN-TS-5380AA30,1.0,1.0,L1-TS-5380AA30,1.0,1.0,MA-603-608AA30,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,SPL-2798-401AA30,1.0,1,PEFIN-SPL-2798-401AA30,1.0,1.0,LA-SPL-2798-401AA30-DF,1.0,1.0,LA-SPL-2798-401AA30-D,1.0,1.0,L1-SPL-2798-401AA30,1.0,1.0,MA-SPL-2798-401AA30,0.0,0.0,
I,3557-601AB34,1.0,1,PEFIN-3557-601AB34,1.0,1.0,L1-3557-601AA34,1.0,1.0,MA-3557-601AA34,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1731-111DA,1.0,1,PEFIN-1731-111DA,1.0,1.0,MC-1731-111DA,1.0,1.0,MA-1731-111DA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,1731-111EA,1.0,1,PEFIN-1731-111EA,1.0,1.0,MC-1731-111EA,1.0,1.0,MA-1731-111DA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,SPL-2798-501AA30,1.0,1,PEFIN-SPL-2798-501AA30,1.0,1.0,LA-SPL-2798-501AA30-DF,1.0,1.0,L1-SPL-2798-501AA30,1.0,1.0,MA-SPL-2798-501AA30,0.0,0.0,,0.0,0.0,
I,TS-5412AA34,1.0,1,PEFIN-TS-5412AA34,1.0,1.0,L1-3557-601AA34,1.0,1.0,MA-3557-601AA34,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,SPL-2798-501AA34,1.0,1,PEFIN-SPL-2798-501AA34,1.0,1.0,LA-SPL-2798-501AA34-DF,1.0,1.0,L1-SPL-2798-501AA34,1.0,1.0,MA-SPL-2798-501AA34,0.0,0.0,,0.0,0.0,
I,SPL-2798-501BA38,1.0,1,PEFIN-SPL-2798-501BA38,1.0,1.0,LA-SPL-2798-501BA38-DF,1.0,1.0,L1-SPL-2798-501BA38,1.0,1.0,MA-SPL-2798-501BA38,0.0,0.0,,0.0,0.0,
I,TS-5412AB34,1.0,1,PEFIN-TS-5412AB34,1.0,1.0,L1-3557-601AA34,1.0,1.0,MA-3557-601AA34,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5546-502BB38,1.0,1,PEFIN-5546-502BB38,1.0,1.0,MC-RH-0207D-01AA40,1.0,63.0,MA-RH-0207D-01AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,TS-5486LA16,1.0,1,PEFIN-TS-5486LA16,1.0,1.0,MC-RH-0207D-01AA40,1.0,63.0,MA-RH-0207D-01AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5546-502CB38,1.0,1,PEFIN-5546-502CB38,1.0,1.0,MC-RH-0207D-01AA50,1.0,52.0,MA-RH-0207D-01AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
I,5546-502GA38,1.0,1,PEFIN-5546-502GA38,1.0,1.0,MC-RH-0207D-01AA40,1.0,63.0,MA-RH-0207D-01AA,0.0,0.0,,0.0,0.0,,0.0,0.0,
J,K-17301GA,1.0,1,PEFIN-K-17301GA,1.0,1.0,PA-K-17301GA,1.0,1.0,MC-K-17301GA,1.0,1.0,MA-K-17301GA,0.0,0.0,,0.0,0.0,
C,00-1090AA30,1.0,1,PEFIN-00-1090AA30,1.0,1.0,S6H3822,55.0,1000.0,SUJ3038068,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-511AA30-M1,1.0,1,PEFIN-3554-511AA30-M1,1.0,1.0,SKD6G2723,35.0,1000.0,SKD11027067,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-513AA-M1,1.0,1,PEFIN-3554-513AA-M1,1.0,1.0,SKD6G2715,22.0,1000.0,SKD11027067,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-514AA30-M1,1.0,1,PEFIN-3554-514AA30-M1,1.0,1.0,SKD7B3228,63.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-515AA30-M1,1.0,1,PEFIN-3554-515AA30-M1,1.0,1.0,SKD7B3235,67.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-517AA30-M1,1.0,1,PEFIN-3554-517AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-518AA30-M1,1.0,1,PEFIN-3554-518AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-519AA30-M1,1.0,1,PEFIN-3554-519AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-520AA30-M1,1.0,1,PEFIN-3554-520AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-521AA30-M1,1.0,1,PEFIN-3554-521AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-522AA30-M1,1.0,1,PEFIN-3554-522AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-523AA30-M1,1.0,1,PEFIN-3554-523AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-524AA30-M1,1.0,1,PEFIN-3554-524AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-525AA30-M1,1.0,1,PEFIN-3554-525AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-591AA30-M1,1.0,1,PEFIN-3554-591AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-592AA30-M1,1.0,1,PEFIN-3554-592AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3554-593AA30-M1,1.0,1,PEFIN-3554-593AA30-M1,1.0,1.0,SKD7B3240,76.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-512AA30-M1,1.0,1,PEFIN-3656-512AA30-M1,1.0,1.0,SKD7B3235,67.0,1000.0,SKD11032072,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-513AA30-M1,1.0,1,PEFIN-3656-513AA30-M1,1.0,1.0,SKD8B4048,130.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-516AA30-M1,1.0,1,PEFIN-3656-516AA30-M1,1.0,1.0,SKD8B4058,158.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-517AA30-M1,1.0,1,PEFIN-3656-517AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-518AA30-M1,1.0,1,PEFIN-3656-518AA30-M1,1.0,1.0,SKD8B4058,158.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-519AA30-M1,1.0,1,PEFIN-3656-519AA30-M1,1.0,1.0,SKD8B4048,130.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-522AA30-M1,1.0,1,PEFIN-3656-522AA30-M1,1.0,1.0,SKD8B4058,158.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-524AA30-M1,1.0,1,PEFIN-3656-524AA30-M1,1.0,1.0,SKD8B4058,158.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-525AA30-M1,1.0,1,PEFIN-3656-525AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-566AA30-M1,1.0,1,PEFIN-3656-566AA30-M1,1.0,1.0,SKD8E3038,80.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-566CA30-M1,1.0,1,PEFIN-3656-566CA30-M1,1.0,1.0,SKD8E3038,80.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-570BA30-M1,1.0,1,PEFIN-3656-570BA30-M1,1.0,1.0,SKD8B2135,50.0,1000.0,SKD11021082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-591AA30-M1,1.0,1,PEFIN-3656-591AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-592AA30-M1,1.0,1,PEFIN-3656-592AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-593AA30-M1,1.0,1,PEFIN-3656-593AA30-M1,1.0,1.0,SKD8B4052,140.0,1000.0,SKD11040082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-611AA30-M1,1.0,1,PEFIN-3656-611AA30-M1,1.0,1.0,SKD6G4775,194.0,1000.0,SKD11047067,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3656-612AA30-M1,1.0,1,PEFIN-3656-612AA30-M1,1.0,1.0,SKD6G4758,150.0,1000.0,SKD11047067,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,5212-653AA34-M1,1.0,1,PEFIN-5212-653AA34-M1,1.0,1.0,SKD8B2931,62.0,1000.0,SKD11029082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,5213-619AA34-M1,1.0,1,PEFIN-5213-619AA34-M1,1.0,1.0,SKD8B2960,117.0,1000.0,SKD11029082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,5213-619AA36-M1,1.0,1,PEFIN-5213-619AA36-M1,1.0,1.0,SKD8B2960,117.0,1000.0,SKD11029082,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,5532-569AA34-M1,1.0,1,PEFIN-5532-569AA34-M1,1.0,1.0,SKD8E3025,53.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,5532-570BA34-M1,1.0,1,PEFIN-5532-570BA34-M1,1.0,1.0,SKD8E3022,47.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
1,K-22210,1.0,1,PEFIN-K-22210,1.0,1.0,NC-K-22210-NC-FINISH,1.0,1.0,SW-K-29610AA,10.0,1000.0,MA-SK4-3.4X4XL2500,0.0,0.0,,0.0,0.0,
1,K-29610AA,1.0,1,PEFIN-K-29610AA,1.0,1.0,NC-K-29610AA-NC-FINISH,1.0,1.0,SW-K-29610AA,10.0,1000.0,MA-SK4-3.4X4XL2500,0.0,0.0,,0.0,0.0,
C,3538-569AB30-M1,1.0,1,PEFIN-3538-569AB30-M1,1.0,1.0,SKD8E3022,47.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,3538-569BB30-M1,1.0,1,PEFIN-3538-569BB30-M1,1.0,1.0,SKD8E3020,42.0,1000.0,SKD11030085,0.0,0.0,,0.0,0.0,,0.0,0.0,
C,12-224C,1.0,1,PEFIN-12-224C,1.0,1.0,PL-12-224C,1.0,1.0,MA-12-224C,0.0,0.0,,0.0,0.0,,0.0,0.0,
