No,完成部番,単位数分子,単位数分母,前工程
6,5173-632AA30,1.0,1.0,COM-5173-632AA30
6,5534-505AA38,1.0,1.0,COM-5534-505AA38
6,5534-506AA38,1.0,1.0,COM-5534-506AA38
6,5534-506BA38,1.0,1.0,COM-5534-506BA38
6,5534-516AA38,1.0,1.0,COM-5534-516AA38
6,5534-516BA38,1.0,1.0,COM-5534-516BA38
6,5534-517BA38,1.0,1.0,COM-5534-517BA38
6,5534-518BA38,1.0,1.0,COM-5534-518BA38
6,5534-566BA38,1.0,1.0,COM-5534-566BA38
6,5534-592AA38,1.0,1.0,COM-5534-592AA38
6,5534-607AA38,1.0,1.0,COM-5534-607AA38
6,5534-607BA38,1.0,1.0,COM-5534-607BA38
6,5534-608AA38,1.0,1.0,COM-5534-608AA38
6,5534-615AA38,1.0,1.0,COM-5534-615AA38
6,5534-616AA38,1.0,1.0,COM-5534-616AA38
6,5534-623BB38,1.0,1.0,COM-5534-623BB38
6,5534-624BB38,1.0,1.0,COM-5534-624BB38
6,5534-627AA38,1.0,1.0,COM-5534-627AA38
6,5534-628AA38,1.0,1.0,COM-5534-628AA38
6,5534-631AA38,1.0,1.0,COM-5534-631AA38
6,5534-632AA38,1.0,1.0,COM-5534-632AA38
6,5540-511AB38,1.0,1.0,COM-5540-511AB38
6,5540-511BA38,1.0,1.0,COM-5540-511BA38
6,5540-512AA38,1.0,1.0,COM-5540-512AA38
6,5540-513AA38,1.0,1.0,COM-5540-513AA38
6,5540-514AA38,1.0,1.0,COM-5540-514AA38
6,5540-566AA38,1.0,1.0,COM-5540-566AA38
6,5540-569AA38,1.0,1.0,COM-5540-569AA38
6,5540-570AB38,1.0,1.0,COM-5540-570AB38
6,582-5317.6,1.0,1.0,COM-582-5317.6
6,582-5327.6,1.0,1.0,COM-582-5327.6
6,582-621L,1.0,1.0,COM-582-621L
6,5154-532AA30,1.0,1.0,COM-5154-532AA30
6,5154-629BA30,1.0,1.0,COM-5154-629BA30
6,5154-630BA30,1.0,1.0,COM-5154-630BA30
6,5154-634AA30,1.0,1.0,COM-5154-634AA30
