No,完成部番,単位数分子,単位数分母,前工程
6,L6A-MY1BL30,1.0,1.0,SKD5E2225
5,L6A-MY2AF33,27.0,1000.0,SKD11022067
6,L6A-MY2AF33,1.0,1.0,SKD6G2222
5,L6A-MY3FS33,59.0,1000.0,SKD11022067
6,L6A-MY3FS33,1.0,1.0,SKD6G2248
5,L6A-MY8DB38,30.0,1000.0,SKD11022055
6,L6A-MY8DB38,1.0,1.0,SKD5E2230
6,L6A-MZ738,1.0,1.0,G3Z4248
4,L8A-DB1AL33,38.0,1000.0,SKD11025055
5,L8A-DB1AL33,1.0,1.0,SKD5E2532
6,L8A-DB1AL33,1.0,1.0,L8A-MB3AS33
4,L8A-DB2,50.0,1000.0,SUJ3030056
5,L8A-DB2,1.0,1.0,S5F3035
6,L8A-DB2,1.0,1.0,L8A-MB2
3,L8A-DB2AL38,50.0,1000.0,SUJ3030056
4,L8A-DB2AL38,1.0,1.0,S5F3035
5,L8A-DB2AL38,1.0,1.0,L8A-MB4AS38
6,L8A-DB2AL38,1.0,1.0,L8A-DB4AS38
4,L8A-DB3D33,51.0,1000.0,SKD11025055
5,L8A-DB3D33,1.0,1.0,SKD5E2545
6,L8A-DB3D33,1.0,1.0,L8A-MB3D33
4,L8A-DB3D38,41.0,1000.0,SKD11025055
5,L8A-DB3D38,1.0,1.0,SKD5E2535
6,L8A-DB3D38,1.0,1.0,L8A-MB3D38
4,L8A-DB4C30,50.0,1000.0,SUJ3030056
5,L8A-DB4C30,1.0,1.0,S5F3035
6,L8A-DB4C30,1.0,1.0,L8A-MB4C30
4,L8A-DB4D33,38.0,1000.0,SKD11025055
5,L8A-DB4D33,1.0,1.0,SKD5E2532
6,L8A-DB4D33,1.0,1.0,L8A-MB4D33
4,L8A-DB4D38,39.0,1000.0,SKD11025055
5,L8A-DB4D38,1.0,1.0,SKD5E2533
6,L8A-DB4D38,1.0,1.0,L8A-MB4D38
4,L8A-DB5A33,75.0,1000.0,SUJ3038068
5,L8A-DB5A33,1.0,1.0,S6H3828
6,L8A-DB5A33,1.0,1.0,L8A-MB5A33
4,L8A-DB6A33,70.0,1000.0,SUJ3038068
5,L8A-DB6A33,1.0,1.0,S6H3825
6,L8A-DB6A33,1.0,1.0,L8A-MB6A33
4,L8A-DB6B,55.0,1000.0,SUJ3038068
5,L8A-DB6B,1.0,1.0,S6H2630P
