5142-616AA34,1.0,1,COM-5142-616AA34,1.0,1.0,MA-5142-616AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-617AA34,1.0,1,COM-5142-617AA34,1.0,1.0,MA-5142-617AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-618AA34,1.0,1,COM-5142-618AA34,1.0,1.0,MA-5142-618AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-619AA34,1.0,1,COM-5142-619AA34,1.0,1.0,MA-5142-619AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-620AA34,1.0,1,COM-5142-620AA34,1.0,1.0,MA-5142-620AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-621AA33,1.0,1,COM-5142-621AA33,1.0,1.0,MA-5142-621AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5142-622AA33,1.0,1,COM-5142-622AA33,1.0,1.0,MA-5142-622AA33-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506AA34,1.0,1,COM-5165-506AA34,1.0,1.0,MA-5165-506AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506AA40,1.0,1,COM-5165-506AA40,1.0,1.0,MA-5165-506AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506AA44,1.0,1,COM-5165-506AA44,1.0,1.0,MA-5165-506AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506AB30,1.0,1,COM-5165-506AB30,1.0,1.0,MA-5165-506AB30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506BA34,1.0,1,COM-5165-506BA34,1.0,1.0,MA-5165-506BA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506BA40,1.0,1,COM-5165-506BA40,1.0,1.0,MA-5165-506BA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-506BA44,1.0,1,COM-5165-506BA44,1.0,1.0,MA-5165-506BA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
