FINAL_ITEM_CODE,PRODUCT_TYP
2185-210AA,7
5165-602AA48,7
5128-502EA38,7
5128-602BB30,7
5128-602BB38,7
5128-602CB38,7
5128-602EB33,7
5128-602AB30,7
4109-601EA30,7
5128-602EA38,7
E474-602EC34,7
954-502EA30,7
5520-501BB36,7
5142-501NA30,7
474-502AB30,7
3923-502AA26,7
3538-502JB34,7
1051-501BB33,7
1731-501ZEA20,7
19B-501ZGC16,7
3538-501CA30,7
1731-406BA16,7
5521-502AA24,7
1551-401AB30,7
1551-401DA38,7
6210-601AA34,7
5520-502PA,7
5529-502EA30,7
479-602FA38,7
6210-501BA34,7
6207-411AA34,7
474-641AB30,7
6210-602FB34,7
6210-502EA34,7
3242-651AB36,7
6210-602GA34,7
6210-602HB34,7
6210-602JB34,7
3242-608AC34,7
6210-606AA34,7
1731-102AB,7
1731-102BB,7
1731-111AA,7
1731-111BA,7
474-641AC34,7
474-641AB38,7
479-641AC34,7
478-641AB33,7
1751-440AC12,7
5145-602AA09,7
1751-414AA12,7
5145-601AA19,7
5145-601AA09,7
5145-601AA13,7
6210-602AC34,7
6210-602BC34,7
6210-602CB34,7
59-405A9,7
5145-501AA09,7
59-409B10,7
59-409B9,7
474-501AB36,7
1751-403AA17,7
1751-103AA17,7
3550-652AA34,7
474-601AB36,7
1751-411AA09,7
1751-406BC09,7
1751-401BB17,7
6108-602BA36,7
474-641AC36,7
1751-401BB24,7
1751-411AA15,7
1751-411AA17,7
1751-103AA24,7
1751-403AA24,7
1751-414AA17,7
5142-501BA44,7
5145-501AA18,7
5521-602HA24,7
5145-501AA15,7
5145-501AA17,7
5530-502EA38,7
1751-411AA18,7
6105-641AA38,7
479-641BA36,7
1751-414AA24,7
5145-601AA17,7
5145-601AA15,7
5145-601AA18,7
3157-601FA30,7
1151-401AA,7
1751-440AC24,7
3154-601EB22,7
5145-602AA15,7
5145-602AA17,7
6104-602DA38,7
6204-602MA34,7
5546-502EA38,7
3550-502BA34,7
3550-601JB34,7
474-602BA36,7
474-502AA36,7
474-602CC36,7
3242-502BA36,7
478-602AC33,7
5145-502JA15,7
