OYAHMCD,KTCD,BUCD,SRCD,VALDTF,VALQTY,PRICE,NOTE,SYOKAIHINKBN
100-202EB1333,L,100,3254,2022/12/23,0,6669,,2
100-202EB1333,L,100,3254,2018/6/21,0,6085,,2
100-202EB1333,L,100,3254,2016/3/8,0,5940,,2
100-202EB1333,L,100,9999,2000/1/1,0,6669,,2
100-202EB1333,AO,100,3070,2016/3/8,0,15500,,2
100-202EB1333,AO,100,3070,2016/1/25,0,15500,,2
100-202EB1333,AO,100,9999,2000/1/1,0,15500,,2
100-202EB1333T,L,100,3254,2019/1/22,0,12000,,2
100-202EB1333T,L,100,9999,2000/1/1,0,12000,,2
100-202EB1333T,AO,100,3070,2019/1/14,0,13750,,2
100-202EB1333T,AO,100,9999,2000/1/1,0,13750,,2
100-202EB1411,L,100,3254,2016/6/9,0,8820,,2
100-202EB1411,L,100,9999,2000/1/1,0,8820,,2
100-202EB1411,AO,100,3070,2016/6/30,0,21500,,2
100-202EB1411,AO,100,9999,2000/1/1,0,21500,,2
100-202EC0290,AO,100,3070,2019/1/15,0,5000,,2
100-202EC0290,AO,100,9999,2000/1/1,0,5000,,2
100-202F0290,AO,100,3070,2019/1/15,0,9000,,2
100-202F0290,AO,100,9999,2000/1/1,0,9000,,2
100-202F1081,L,100,3254,2022/12/23,0,6350,,2
100-202F1081,L,100,3254,2021/7/1,0,6000,,2
100-202F1081,L,100,9999,2000/1/1,0,6000,,2
100-202F1081,AO,100,3070,2021/7/7,0,12600,,2
100-202F1081,AO,100,9999,2000/1/1,0,12600,,2
100-202F1150,L,100,3254,2022/12/23,0,3395,,2
100-202F1150,L,100,3254,2018/6/21,0,3045,,2
100-202F1150,L,100,3254,2016/3/8,0,3000,,2
100-202F1150,L,100,9999,2000/1/1,0,3395,,2
100-202F1150,AO,100,3070,2018/12/14,0,12000,,2
100-202F1150,AO,100,3070,2016/3/8,0,0,,2
100-202F1150,AO,100,9999,2000/1/1,0,12000,,2
100-202F1240,L,100,3254,2018/6/21,0,3895,,2
100-202F1240,L,100,3254,2016/3/8,0,3850,,2
100-202F1240,AO,100,3070,2016/3/8,0,0,,2
100-202F1333,L,100,3254,2022/12/23,0,3457,,2
100-202F1333,L,100,3254,2018/6/21,0,3107,,2
100-202F1333,L,100,3254,2016/3/8,0,3062,,2
100-202F1333,L,100,9999,2000/1/1,0,3457,,2
100-202F1333,AO,100,3070,2016/3/8,0,21000,,2
100-202F1333,AO,100,3070,2016/1/25,0,21000,,2
100-202F1333,AO,100,9999,2000/1/1,0,21000,,2
100-202F1411,L,100,3254,2016/6/9,0,6400,,2
100-202F1411,L,100,9999,2000/1/1,0,6400,,2
100-202F1411,AO,100,3070,2016/6/30,0,21500,,2
100-202F1411,AO,100,9999,2000/1/1,0,21500,,2
100-204AA,MC,100,3399,2017/7/27,4,16500,,2
100-204AA,MC,100,3399,2017/7/27,0,20000,,2
100-204AA,MC,100,3399,2016/2/26,0,16500,,2
100-204AA,MC,100,9999,2000/1/1,0,16500,,2
100-204BA,MC,100,3399,2016/7/4,0,34000,,2
100-204BA,MC,100,3399,2016/6/30,0,17500,,2
100-204BA,MC,100,3399,2016/6/1,0,34000,,2
100-204BA,MC,100,3399,2016/2/26,0,16500,,2
100-204BA,MC,100,9999,2000/1/1,0,34000,,2
100-204BA,PA,100,3399,2016/2/26,0,714,,2
100-204BA,PA,100,9999,2000/1/1,0,714,,2
100-205AA,MC,100,3399,2017/7/27,4,16500,,2
100-205AA,MC,100,3399,2017/7/27,0,20000,,2
100-205AA,MC,100,3399,2017/7/18,5,15600,,2
100-205AA,MC,100,3399,2016/2/26,0,9900,,2
100-205AA,MC,100,9999,2000/1/1,0,16500,,2
100-205BA,MC,100,3399,2019/1/22,0,70000,,2
100-205BA,MC,100,3399,2016/2/26,0,16500,,2
100-205BA,MC,100,9999,2000/1/1,0,70000,,2
100-205BA,PA,100,3399,2016/2/26,0,714,,2
100-205FA,MC,100,3399,2016/2/26,0,16500,,2
100-205FA,PA,100,3399,2016/2/26,0,858,,2
100-206D1150,L,100,3254,2016/3/8,0,8382,,2
100-206D1150,L,100,9999,2000/1/1,0,8382,,2
100-208-AA0490,PL,100,3861,2018/11/1,0,700,,2
100-208-AA0490,PL,100,9999,2000/1/1,0,700,,2
