HMCD,SEQ,KTSEQ,KTCD
C0078B34029760420000,3,5030,BF
C0078B34029760420000,4,5040,CYFIN
C0078B30013200640000,1,5010,FL
C0078B30013200640000,2,5020,G
C0078B30013200640000,3,5030,BF
C0078B30013200640000,4,5040,CYFIN
C5181A16009240420000,1,5010,FL
C5181A16009240420000,2,5020,G
C5181A16009240420000,3,5030,BF
C5181A16009240420000,4,5040,CYFIN
C5181A17009960420000,1,5010,FL
C5181A17009960420000,2,5020,G
C5181A17009960420000,3,5030,BF
C5181A17009960420000,4,5040,CYFIN
C5181A18010560420000,1,5010,FL
C5181A18010560420000,2,5020,G
C5181A18010560420000,3,5030,BF
C5181A18010560420000,4,5040,CYFIN
C6207A34018720480000,1,5010,FL
C6207A34018720480000,2,5020,G
C6207A34018720480000,3,5030,BF
C6207A34018720480000,4,5040,CYFIN
C0078G44024720480000,1,5010,FL
C0078G44024720480000,2,5020,G
C0078G44024720480000,3,5030,BF
C0078G44024720480000,4,5040,CYFIN
C0078B36032160420000,1,5010,FL
C0078B36032160420000,2,5020,G
C0078B36032160420000,3,5030,BF
C0078B36032160420000,4,5040,CYFIN
C0078B34017040480000,1,5010,FL
C0078B34017040480000,2,5020,G
C0078B34017040480000,3,5030,BF
C0078B34017040480000,4,5040,CYFIN
C3144F30047040251700,1,5010,FL
C3144F30047040251700,2,5020,RST
C3144F30047040251700,3,5030,G
C3144F30047040251700,4,5040,BF
C3144F30047040251700,5,5050,CYFIN
C3164B34025680522500,1,5010,FL
C3164B34025680522500,2,5020,RST
C3164B34025680522500,3,5030,G
C3164B34025680522500,4,5040,BF
C3164B34025680522500,5,5050,CYFIN
C3636D34025500422500,1,5010,FL
C3636D34025500422500,2,5020,RST
C3636D34025500422500,3,5030,G
C3636D34025500422500,4,5040,BF
C3636D34025500422500,5,5050,CYFIN
C3154C18011280485025,1,5010,FL
C3154C18011280485025,2,5020,RST
C3154C18011280485025,3,5030,G
C3154C18011280485025,4,5040,BF
C3154C18011280485025,5,5050,CYFIN
C3164E26019320522500,1,5010,FL
C3164E26019320522500,2,5020,RST
C3164E26019320522500,3,5030,G
C3164E26019320522500,4,5040,BF
C3164E26019320522500,5,5050,CYFIN
C3144B30018600523000,1,5010,FL
C3144B30018600523000,2,5020,RST
C3144B30018600523000,3,5030,G
C3144B30018600523000,4,5040,BF
C3144B30018600523000,5,5050,CYFIN
C3144B30022680523000,1,5010,FL
C3144B30022680523000,2,5020,RST
C3144B30022680523000,3,5030,G
C3144B30022680523000,4,5040,BF
C3144B30022680523000,5,5050,CYFIN
C3164B30028800422000,1,5010,FL
C3164B30028800422000,2,5020,RST
C3164B30028800422000,3,5030,G
C3164B30028800422000,4,5040,BF
C3164B30028800422000,5,5050,CYFIN
C3164B32024480522500,1,5010,FL
C3164B32024480522500,2,5020,RST
C3164B32024480522500,3,5030,G
C3164B32024480522500,4,5040,BF
C3164B32024480522500,5,5050,CYFIN
C3144D15010200523000,1,5010,FL
C3144D15010200523000,2,5020,RST
C3144D15010200523000,3,5030,G
C3144D15010200523000,4,5040,BF
C3144D15010200523000,5,5050,CYFIN
C3144D17012240523000,1,5010,FL
C3144D17012240523000,2,5020,RST
C3144D17012240523000,3,5030,G
C3144D17012240523000,4,5040,BF
C3144D17012240523000,5,5050,CYFIN
C3144D19012960523000,1,5010,FL
C3144D19012960523000,2,5020,RST
C3144D19012960523000,3,5030,G
C3144D19012960523000,4,5040,BF
C3144D19012960523000,5,5050,CYFIN
C3144D21014280523000,1,5010,FL
C3144D21014280523000,2,5020,RST
C3144D21014280523000,3,5030,G
C3144D21014280523000,4,5040,BF
C3144D21014280523000,5,5050,CYFIN
C3146B30018600523000,1,5010,FL
C3146B30018600523000,2,5020,RST
C3146B30018600523000,3,5030,G
C3146B30018600523000,4,5040,BF
C3146B30018600523000,5,5050,CYFIN
C3164B32028800422000,1,5010,FL
C3164B32028800422000,2,5020,RST
C3164B32028800422000,3,5030,G
C3164B32028800422000,4,5040,BF
C3164B32028800422000,5,5050,CYFIN
C3636D34029520422000,1,5010,FL
C3636D34029520422000,2,5020,RST
C3636D34029520422000,3,5030,G
C3636D34029520422000,4,5040,BF
C3636D34029520422000,5,5050,CYFIN
C3156A34039000352000,1,5010,FL
C3156A34039000352000,2,5020,RST
C3156A34039000352000,3,5030,G
C3156A34039000352000,4,5040,BF
C3156A34039000352000,5,5050,CYFIN
C3146D26019440522500,1,5010,FL
C3146D26019440522500,2,5020,RST
C3146D26019440522500,3,5030,G
C3146D26019440522500,4,5040,BF
