order_no,item_code,item_name,quantity,status,purch_odr_typ,delivery_date,前工程
E8878050,LA-12Q-411GA34-MC,NEEDLE DIAL HUB,1.0,2,1,2025-10-30,LA-12Q-411GA34-MC
E8878052,L1-12Q-411GA34,NEEDLE DIAL HUB  (L1ﾉﾐ),1.0,2,1,2025-10-23,L1-12Q-411GA34
E8878056,L1-1551-401AA38,BED,2.0,2,1,2025-10-23,L1-1551-401AA38
E8878060,L1-1551-401AA38,BED,1.0,2,1,2025-10-23,L1-1551-401AA38
E8878064,L1-161-406DE34,GEAR RING (170-406AA34ﾄ ｶﾀ ｵﾅｼﾞ),2.0,2,1,2025-10-23,L1-161-406DE34
E8878067,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),1.0,2,1,2025-10-30,LA-161-406DE31-D
E8878068,L1-161-406DE31,GEAR RING,1.0,2,1,2025-10-23,L1-161-406DE31
E8878072,L1-161-406RE34,GEAR RING,1.0,2,1,2025-10-23,L1-161-406RE34
E8878077,L1-165-601AB33,DIAL CAP HUB,1.0,2,1,2025-10-23,L1-165-601AB33
E8878080,L1-165-601BA36,DIAL CAP HUB,2.0,2,1,2025-10-23,L1-165-601BA36
E8878082,LA-161-601HA34-L2,DIAL CAP HUB   L2,1.0,2,1,2025-10-30,LA-161-601HA34-L2
E8878083,L1-161-601HA34,DIAL CAP HUB,1.0,2,1,2025-10-23,L1-161-601HA34
E8878086,L1-5529-501CA34,CAM RING,1.0,2,1,2025-10-23,L1-5529-501CA34
E8878089,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-10-27,L1-101-440BB30
E8878091,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-10-27,L1-12Q-411BA31
E8878094,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-04,LA-161-406DE31-D
E8878095,L1-161-406DE31,GEAR RING,5.0,2,1,2025-10-27,L1-161-406DE31
E8878098,L1-3557-501AA34,CAM RING(L1),1.0,2,1,2025-10-27,L1-3557-501AA34
E8878100,L1-4109-502AA34,CAM HOLDER,1.0,2,1,2025-10-20,L1-4109-502AA34
E8878102,L1-3557-601AA34,SINKER CAP,1.0,2,1,2025-10-27,L1-3557-601AA34
E8878105,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-10-27,L1-165-601AB30
E8878110,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-10-30,L1-101-440BB30
E8878112,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-10-30,L1-12Q-411BA31
E8878116,L1-12Q-411BA36,NEEDLE DIAL HUB(L1ﾉﾐ),2.0,2,1,2025-10-30,L1-12Q-411BA36
E8878120,L1-1551-401AA38,BED,2.0,2,1,2025-10-30,L1-1551-401AA38
E8878123,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-07,LA-161-406DE31-D
E8878124,L1-161-406DE31,GEAR RING,5.0,2,1,2025-10-30,L1-161-406DE31
E8878127,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-10-30,L1-165-601AB30
E8878129,L1-474-502AA30,CAM HOLDER,5.0,2,1,2025-10-30,L1-474-502AA30
E8878132,L1-5211-601AA36,DIAL CAP HUB,2.0,2,1,2025-10-30,L1-5211-601AA36
E8878135,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-11-04,L1-101-440BB30
E8878137,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-11-04,L1-12Q-411BA31
E8878140,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-11,LA-161-406DE31-D
E8878141,L1-161-406DE31,GEAR RING,5.0,2,1,2025-11-04,L1-161-406DE31
E8878143,L1-474-502AA30,CAM HOLDER,5.0,2,1,2025-11-04,L1-474-502AA30
E8878146,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-11-04,L1-165-601AB30
E8878149,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-11-07,L1-101-440BB30
E8878151,L1-12Q-411BA31,NEEDLE DIAL HUB,5.0,2,1,2025-11-07,L1-12Q-411BA31
E8878154,LA-161-406DE31-D,GEAR RING (HIZUMI TORI),5.0,2,1,2025-11-14,LA-161-406DE31-D
E8878155,L1-161-406DE31,GEAR RING,5.0,2,1,2025-11-07,L1-161-406DE31
E8878158,MC-1751-402BA24,DIAL YOKE   (MC),2.0,2,1,2025-11-21,MC-1751-402BA24
E8878160,MC-1751-404AB,SIDE A (常盤様素材）,2.0,2,1,2025-11-14,MC-1751-404AB
E8878161,MC-1751-404BA,SIDE A　（常盤様素材）,4.0,2,1,2025-11-14,MC-1751-404BA
E8878163,L2-1751-411AA24,NEEDLE DIAL HUB   (L2ﾉﾐ),2.0,2,1,2025-11-11,L2-1751-411AA24
E8878164,L1-1751-411AA24,NEEDLE DIAL HUB   (L1ﾉﾐ),2.0,2,1,2025-11-07,L1-1751-411AA24
E8878165,L1-1751-440AC24,TOP GEAR,2.0,2,1,2025-11-07,L1-1751-440AC24
E8878168,L1-165-601AB30,DIAL CAP HUB,5.0,2,1,2025-11-07,L1-165-601AB30
E8878170,L1-1751-501AA24,CAM RING,2.0,2,1,2025-11-07,L1-1751-501AA24
E8878173,L1-1751-601AA24,DIAL CAP HUB,2.0,2,1,2025-11-07,L1-1751-601AA24
E8878174,L1-474-502AA30,CAM HOLDER,5.0,2,1,2025-11-07,L1-474-502AA30
E8878177,L1-101-440BB30,TOP GEAR,5.0,2,1,2025-11-11,L1-101-440BB30
