OYAHMCD,SEQ,STRNO,OYAREVNO,STRSEQ,KOHMCD,SIZEX,SIZEY,SIZEZ,SHAPEQTY,OYAQTYKBN,OYAQTY,OYAUNIT,KOQTY,KOUNIT,VALDEC,HASUKBN,NOTE,REVNOTE,REVDT,REVTANCD,VALFLG
279-409A380,1,1,1,1,L-79-409B38-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
328-405AA440,1,1,1,1,L-328-405AA44-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
329-409AA440,1,1,1,1,L-329-409AA44-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
3326-405AA340,1,1,1,1,L-816-405CA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-405AA360,1,1,1,1,L-335-405AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-405AA380,1,1,1,1,L-335-405AA38-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
335-409AA360,1,1,1,1,L-478-409AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409AA320,1,1,1,1,L-79-409B32-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
478-409JA480,1,1,1,1,L-329-409AA48-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5163-405AA380,1,1,1,1,L-5163-40538-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5215-405AA340,1,1,1,1,L-5163-40534-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5540-405BA360,1,1,1,1,L-335-405AA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
5542-405AA300,1,1,1,1,L-335-405AA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B130,1,1,1,1,L-57-40513-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B170,1,1,1,1,L-57-40517-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B210,1,1,1,1,L-57-40521-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
57-405B260,1,1,1,1,L-57-40526-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-409DA130,1,1,1,1,L-59-40913-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-409DA170,1,1,1,1,L-59-40917-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
59-409DA210,1,1,1,1,L-59-40921-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
6104-409CA340,1,1,1,1,L-6104-409CA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
6104-409CA360,1,1,1,1,L-6104-409CA36-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
6207-409AA340,1,1,1,1,L-5516-409AA34-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
78-405A320,1,1,1,1,L-78-40532-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
81-405EA160,1,1,1,1,L-81-40516,,,,1,1,1,PC,1,PC,0,1,,,,,1
81-405EA180,1,1,1,1,L-81-40518,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405CA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
816-405LA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405GA380,1,1,1,1,L-87-40538,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-405LA300,1,1,1,1,L-87-40530-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
87-410B300,1,1,1,1,L2-87-41030-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
970-405CB260,1,1,1,1,L-81-40526,,,,1,1,1,PC,1,PC,0,1,,,,,1
970-405FA300,1,1,1,1,L-87-40530,,,,1,1,1,PC,1,PC,0,1,,,,,1
975-405AA300,1,1,1,1,L-816-405CA30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
C272-409AA300,1,1,1,1,L-79-409B30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
TS-5186VA300,1,1,1,1,L-79-409B30-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
TS-5253PA,1,1,1,1,L-816-405CA16-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
201-405BA210,1,1,1,1,L-57-40521-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
208-409CA180,1,1,1,1,L-201-40918-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
220-409330,1,1,1,1,L-220-40933-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
251-409BA210,1,1,1,1,L-59-40921-S,,,,1,1,1,PC,1,PC,0,1,,,,,1
