ç´ïÔäJénì˙,î≠çsì˙,ëgóßäJénì˙,ê∂éYåééü,ì`ï[ÇmÇè,â¡çHïîî‘,ïîïiñº,ïKóvêî,ñ¢à¯ìñç›å…êî,éËéùÇøç›å…êî,ìæà”êÊíçï∂î‘çÜ,èoå…çœêî
2026/03/19,2026/02/03,2026/03/09,2026036,E000099772,3164-512AB30,TUCK CAM,576,84,84,,0
2026/03/25,2026/02/03,2026/03/12,2026037,E000099797,3164-512AB30,TUCK CAM,864,0,0,,0
2026/04/08,2026/02/03,2026/03/27,2026043,E000100346,3164-512AB30,TUCK CAM,288,0,0,,0
2026/02/26,2026/02/03,2026/02/10,2026028,E000099353,3164-513AA26,WELT CAM,588,72,72,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099103,3164-513AA32,WELT CAM,468,468,520,,0
2026/02/10,2026/02/03,2026/02/10,,E000099361,3164-513AA32,WELT CAM,96,52,52,PM-5171203,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099817,3164-513AA32,WELT CAM,468,0,0,,0
2026/02/17,2026/02/03,2026/02/02,2026025,E000099337,3164-513AA34,WELT CAM,540,113,113,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099345,3164-513AA34,WELT CAM,432,0,0,,0
2026/04/03,2026/02/03,2026/03/24,2026042,E000100227,3164-513AA34,WELT CAM,648,0,0,,0
2026/04/15,2026/02/03,2026/04/03,2026045,E000100524,3164-513AA34,WELT CAM,432,0,0,,0
2026/04/23,2026/02/03,2026/04/10,2026047,E000100532,3164-513AA34,WELT CAM,432,0,0,,0
2026/03/12,2026/02/03,2026/02/27,2026034,E000099569,3164-513AA40,WELT CAM,384,13,13,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099258,3164-513AA42,WELT CAM,140,4,4,,0
2026/02/02,2026/02/03,2026/01/19,2026021,E000098966,3164-513AB30,WELT CAM,192,0,99,,192
2026/03/19,2026/02/03,2026/03/09,2026036,E000099773,3164-513AB30,WELT CAM,576,99,99,,0
2026/03/25,2026/02/03,2026/03/12,2026037,E000099798,3164-513AB30,WELT CAM,864,0,0,,0
2026/04/08,2026/02/03,2026/03/27,2026043,E000100347,3164-513AB30,WELT CAM,288,0,0,,0
2026/02/06,2026/02/03,2026/02/06,,E000099096,3164-514AB30,WELT CAM,4,4,11,PM-5167104,
2026/02/26,2026/02/03,2026/02/10,2026028,E000099354,3164-515AA26,GATE CAM A,28,20,20,,0
2026/02/04,2026/02/03,2026/01/21,2026022,E000099104,3164-515AA32,GATE CAM A,12,0,31,,12
2026/02/10,2026/02/03,2026/02/10,,E000099362,3164-515AA32,GATE CAM A,2,2,31,PM-5171204,
2026/03/27,2026/02/03,2026/03/16,2026038,E000099818,3164-515AA32,GATE CAM A,12,0,31,,12
2026/02/17,2026/02/03,2026/02/02,2026025,E000099338,3164-515AA34,GATE CAM A,20,20,24,,0
2026/02/24,2026/02/03,2026/02/06,2026027,E000099346,3164-515AA34,GATE CAM A,16,4,4,,0
