FINAL_ITEM_CODE,PROCESS_ORDER,PROCESS_CODE,RES_CODE1,CAPACITY1,INF_CHANGE1,RES_CODE2,CAPACITY2,INF_CHANGE2,RES_CODE3,CAPACITY3,INF_CHANGE3,VERSION,OPE_NAME,UP_DATE,CHK_VAL_FLG
1355-403CB24,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1531-128BA,1,GAI,000,1,0,,,,,,,1,初崎　和広,2021-01-19,0
161-402CA30,1,B,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA30,2,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA30,3,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA30,4,MC,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA38,1,B,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA38,2,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA38,3,L,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402CA38,4,MC,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402PA31,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402PA31,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402PA31,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-402PA31,4,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403CA30,1,MC,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403CA30,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
161-403CA38,1,MC,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403CA38,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
161-403CB30,1,MCW,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403CB38,1,MCW,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403DA38,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
161-403DB38,1,MCW,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-403GA38,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
161-403HA38,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
161-403HB38,1,MCW,014,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
161-404AAC,1,MC,004,1,0,,,,,,,1,初崎　和広,2024-03-07,0
161-404AEC,1,MC,012,1,0,,,,,,,1,初崎　和広,2024-03-07,0
1631-111AA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111AA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111BA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111BA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111CA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111DA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111EA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111FA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111GA,1,MCW,004,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111KA,1,MCW,004,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111MA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111MA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111NA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111NA,1,MC,000,1,0,,,,,,,2,森友　宏幸,2025-05-15,0
1631-111PA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111QA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111QA,1,GAI,000,1,0,,,,,,,99,ADDITIONAL LEG,2018-10-24,0
1631-111QB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111RA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111RA,1,GAI,000,1,0,,,,,,,99,ADDITIONAL LEG,2018-10-24,0
1631-111UA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111VA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111XA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111YA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-111ZA,1,MC,004,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1631-141AA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
171-475DA,1,GAI,000,1,0,,,,,,,1,初崎　和広,2021-06-08,0
1731-111CA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1731-111CB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1731-111DA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1731-111DB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1731-111EA,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1731-111EB,1,MC,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA12,1,B,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA12,2,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
1751-402BA12,3,L,000,1,0,,,,,,,1,森友　宏幸,2025-05-15,0
